#H295R-shbcatenin		
Gene	Fold Change (log2) [- dox/+dox]	p_values_adjusted
AXIN2	-1.63576633333333	0.00383531955221498
LEF1	-1.50921633333333	0.00347244136732606
NKD1	-1.04345366666667	0.00383531955221498
APCDD1	-0.360012000000000	0.233270157863328
WNT4	-0.376455666666666	0.160589525668831
TWSG1	0.0894026666666681	0.766776438263996
NOV	0.123056000000000	0.669530887411007
ISM1	-1.1443200	0.00441604774813744
DAB2	0.104197	0.648806832470653
ERN1	-0.243441666666666	0.190569948330175
AFF3	-1.42359766666667	0.00472058765700093
ACPL2	-1.059745	0.00383531955221498
SLC12A2	-0.0227763333333327	0.946627610228776
CTNNB1	-1.31956433333333	0.00586308454938864
ABR	-1.03942933333333	0.00383531955221498
PRKD3	-0.278459999999999	0.223260757343954
TGFB2	-0.517693666666666	0.267735810842620
UGCG	-0.476449	0.0432054383604454
ZNF711	0.00626466666666687	0.986471172041113
SYTL2	-1.28957	0.00311122808725912
ETV5	0.096069666666667	0.775273488714107
PGM5	0.411397555555556	0.246561548460872
FBXL7	-0.292245333333333	0.194593860853488
MAML3	-0.338022333333333	0.121952230275805
SPOCK1	-0.342299333333333	0.546434057395997
FGF20	-0.0487976666666662	0.880270138913017
PDZRN3	-0.222138999999999	0.477169587518779
MYO9A	0.0212393333333333	0.954865522683112
CCDC170	-0.763100999999999	0.0166728696318732
RALBP1	-0.201865666666665	0.351839993215702
VCAN	-2.652893	0.00311122808725912
PHLDA1	-0.359014666666666	0.0917235990272545
TRPM3	0.225264	0.455326357137964
SV2C	-1.03841966666667	0.00311122808725912
SLC44A5	-0.361440333333333	0.320225451789804
SERINC5	-1.035958	0.00383531955221498
PLCL2	0.424863333333333	0.0755898373594719
MME	-0.339116666666665	0.234508116088724
SESN3	0.538249333333335	0.0200880262280604
ITGA9	-1.15585566666667	0.0105638761565426
FAM19A4	-1.76340866666667	0.00347244136732606
BMP4	-1.12272933333333	0.0305931016495141
LPPR1	0.0363103333333338	0.887363245747406
