baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	1721.48014187751	-0.0451683991251512	0.216563351998914	-0.208568987819221	0.834784722249653	0.929635753403177
TNMD	4.47464590888625	-0.488065282030105	0.573395072724947	-0.85118499485995	0.394666596763115	0.645339200786165
DPM1	1700.61630351532	0.0979658589073118	0.174535715448714	0.56129405179594	0.574597095855312	0.778372141608308
SCYL3	308.040034773335	0.0488804688905227	0.18338272906111	0.266548922795416	0.789816486750959	0.905282012684636
C1orf112	121.059156154147	0.603485082728764	0.262415604111946	2.29973017332963	0.0214635115681964	0.108219448436014
FGR	177.287311930621	-1.20445055292428	0.345475837515428	-3.48635250901012	0.000489655309534105	0.00698501444001734
CFH	872.74263222141	-1.59245060631488	0.475369943808934	-3.34991857826615	0.000808353180910102	0.0102070210269268
FUCA2	3228.86979035257	-0.021394891347641	0.223326673073249	-0.0958008779391239	0.923678720073916	0.968487232688662
GCLC	1391.87797226353	-0.045830789715732	0.252615417375148	-0.181425148915874	0.85603388043451	0.939108784944112
NFYA	832.514171253729	0.142830067303129	0.224639761320024	0.635818282853551	0.524894869523368	0.745162111376521
STPG1	341.577550535441	-0.273541828787608	0.306098941173273	-0.893638598484289	0.371515287515122	0.623856412886773
NIPAL3	931.053111584514	-0.109080386855058	0.19485010672779	-0.559816921257558	0.575604320567194	0.779085937474918
LAS1L	1994.86169151383	-0.34153918773737	0.187402270026333	-1.82249226591213	0.0683803261914603	0.230663540911267
ENPP4	901.006474161274	-1.04953025880423	0.452067967188779	-2.3216204973133	0.0202533792104958	0.104189843158016
SEMA3F	1097.1482239233	-0.418147796421955	0.258259730449646	-1.61909793560899	0.105426192928218	0.301574438427117
CFTR	6.00829688392054	-0.182190453638587	0.872595730570083	-0.208791364953801	0.834611112548597	0.929507137891202
ANKIB1	2267.27699942203	-0.0192141118065542	0.183877719437894	-0.104493964060958	0.916777358040199	0.965070203858216
CYP51A1	163.613100631443	1.52912012606814	0.591710796506392	2.58423563520634	0.0097595091601843	0.0628462385363635
KRIT1	288.790405338144	-0.153988827330437	0.163085008738535	-0.944224294566022	0.345055042868647	0.601345701988167
RAD52	376.284694386026	-0.39768014572865	0.216556324233735	-1.83638204580635	0.0663011730464092	0.226262694613
MYH16	4.82013625200519	0.436621761242322	0.457255879601089	0.954874022884586	0.339641407918202	0.595766330742783
BAD	466.588122495679	-0.026434327624744	0.186590024586316	-0.141670636912937	0.887340169312592	0.952847531246815
LAP3	2678.71357095575	-0.176645471017377	0.290362475772538	-0.608361912287028	0.542947466799764	0.75858655536763
CD99	7280.71092794676	-0.414515472824744	0.318712268249878	-1.30059465580332	0.193397237285568	0.433975422869986
HS3ST1	317.342717744459	2.2323449402893	0.400873185239133	5.56870607086786	2.56637985609166e-08	3.23941575081907e-06
AOC1	18.4990391686014	-1.57451043630227	0.701354132783229	-2.24495780762572	0.0247708413025749	0.119838757375224
WNT16	3.25104506428848	-0.105980283474746	0.857157816905162	-0.123641506131737	0.901599127470265	0.958921297055553
HECW1	27.0222356262399	1.99322778703602	0.742113776150651	2.68587897313388	0.00723392864938722	0.0508012744602198
MAD1L1	7.04457124836936	-0.156701574618738	0.459698427056475	-0.340879075053886	0.733194618084105	0.874838017223533
LASP1	3970.42546527831	-0.302249159916737	0.204298647578383	-1.47944767867723	0.139020705247065	0.357268264022026
SNX11	745.647803069146	0.0577432944836077	0.178243163344371	0.323957976284598	0.745969849984592	0.88171344139814
TMEM176A	1089.20166292315	-0.38694593703086	0.689870329206513	-0.560896621653411	0.574868013215653	0.778532297089176
M6PR	2209.64591926698	-0.468834097250285	0.261693744081172	-1.79153727536132	0.0732071184809244	0.240786594547862
KLHL13	385.838280355926	0.68641226699984	0.436877733362573	1.57117704698896	0.116141530039861	0.320438078177126
CYP26B1	461.33822116515	1.08677474095245	0.667529295790936	1.62805549929425	0.103513118267	0.298362544724118
ICA1	126.549234708108	-0.847303478305663	0.298573318254939	-2.83784057884967	0.00454198618193954	0.0362632453087415
DBNDD1	331.459543915704	0.677750307631869	0.481011010350876	1.40901204556104	0.158831606369999	0.386191792739863
ALS2	796.475289395633	0.413995946643279	0.220946102145261	1.87374179776703	0.0609660219127731	0.214484555318949
CASP10	418.093919027956	-0.812622453718431	0.342541525448897	-2.37233267602665	0.0176761672908204	0.0950049190535928
CFLAR	2849.17276066053	-0.136409119013328	0.150939042361311	-0.903736481160372	0.366135149921866	0.619603523007648
TFPI	1656.68809302037	-1.30620941455278	0.50685932512181	-2.57706497604412	0.00996432180544581	0.0636173001462364
NDUFAF7	645.342965179267	0.206838464788923	0.201889351012758	1.02451399121023	0.305592565806089	0.56133312821429
RBM5	1928.17994173962	-0.0244549005899891	0.190808133170946	-0.12816487527856	0.89801849624683	0.957593011759987
MTMR7	41.8384265393006	-0.490033508976061	0.285358826392431	-1.71725372987817	0.0859328222090216	0.265708295861151
SLC7A2	1073.89711150413	-1.71663079813249	0.607929925231775	-2.82373136587745	0.00474681517963409	0.0374580885000733
ARF5	3483.98975836636	-0.100713900486279	0.171736643847342	-0.586443860960765	0.557577276811778	0.768710526305099
SARM1	183.473939783454	0.389193420134385	0.332593994144802	1.17017573072874	0.241930257306974	0.494506992629093
POLDIP2	6303.49338103945	-0.246879887584123	0.153793288508483	-1.60527088001311	0.108434204722212	0.30670100804909
PLXND1	5443.9144608416	-0.420149883521441	0.409207991535047	-1.02673919427954	0.304543288252926	0.56034069538389
AK2	3140.88001237995	-0.0758009873421564	0.17290708027586	-0.438391459859375	0.661102536180021	0.833547504709742
CD38	86.4875531269044	-2.02042772702474	0.551673174317233	-3.66236355343048	0.000249898865108614	0.00413538655439101
FKBP4	4186.00786699201	-0.180304621775609	0.274599049348339	-0.656610509772324	0.511431389392046	0.735466386461495
KDM1A	2051.20609088477	-0.0457951370447603	0.166077597923956	-0.275745420316888	0.782743607150295	0.901569745103232
RBM6	2877.47993104485	-0.180500790474514	0.228691822039975	-0.789275230152141	0.429951160558832	0.673897540158815
CAMKK1	1308.58645516506	-1.43427037026478	0.416042457687398	-3.44741346409036	0.000565981687410112	0.00774056943785368
RECQL	441.414691266133	0.543088786637935	0.347218253928581	1.56411358127975	0.117790897054058	0.323190644236588
VPS50	986.86774592899	-0.0185069911049163	0.195118205245495	-0.0948501503569648	0.924433852173764	0.968707080652989
HSPB6	8884.02625127355	-1.54374868907295	0.621445802101751	-2.48412441415155	0.0129870425490419	0.0764384712646272
ARHGAP33	743.690918255148	0.307627545319264	0.31202206034045	0.985916011783298	0.324174328941717	0.579986586963526
NDUFAB1	3163.84164505825	-0.080575833345136	0.174227402830695	-0.462475087362894	0.643740663629293	0.82246035711607
PDK4	16303.509140588	1.39289953945592	0.5081668891966	2.74102773924932	0.00612473365139099	0.0452572184002176
SLC22A16	2.17521518168621	-1.3602344947124	0.748569948290743	-1.81711074271457	0.0692001581696423	0.232132229193288
ZMYND10	26.2489803327649	0.470313849820467	0.442720245017742	1.06232740678398	0.288087076569442	0.544645590587566
ABCB5	40.5927284765959	-4.48535310143611	1.01719567606496	-4.40952828150802	1.03596029308579e-05	0.000347601038271524
ARX	106.590715898606	-3.01664302781028	0.90311062995541	-3.34028072281601	0.000836937438936042	0.0104690784403677
