Gene,logFC_allTumors,pFDR_allTumors,logFC_noMisclassified,pFDR_noMisclassified,In_signature
AXIN2,1.094359686,0.266523346,1.616745636,0.000563356,TRUE
LEF1,2.119526993,0.127222026,2.854600216,0.00081381,TRUE
AFF3,1.354812713,0.136153506,1.821413513,0.000949386,TRUE
PDE2A,1.584428232,0.153915113,2.123698075,0.004024412,TRUE
SGK1,-0.984419093,0.219638856,-1.321987575,0.006345587,FALSE
MYC,0.822896939,0.127222026,1.009440484,0.011326463,TRUE
FSCN1,0.997603887,0.21752489,1.311174742,0.025832208,TRUE
VCAN,1.025091558,0.67364641,2.116656716,0.031138324,FALSE
NOTCH2,0.475232521,0.295750862,0.614863319,0.056974949,FALSE
SMC3,0.552204881,0.14932728,0.604526085,0.071019876,FALSE
PPARD,-0.64110808,0.165119955,-0.729988714,0.072196652,FALSE
ENC1,0.700396709,0.189763081,0.795348598,0.077764947,FALSE
LGR5,1.160919854,0.551065356,1.863164129,0.085828013,FALSE
JAG1,0.970249552,0.285426296,1.214228232,0.089274475,FALSE
TNFRSF19,0.154319973,0.803703663,0.36963796,0.094206502,TRUE
SP5,0.343986823,0.256107838,0.396999855,0.108938772,TRUE
YY1AP1,0.363534021,0.369107279,0.469257518,0.109410836,FALSE
BIRC5,0.733687814,0.290728806,0.845345644,0.117879106,FALSE
ENAH,0.33152941,0.509508558,0.486853003,0.130660509,FALSE
SUZ12,0.328628842,0.339756194,0.404767405,0.132703575,FALSE
CDC25A,0.499342504,0.193660698,0.506072487,0.142813907,FALSE
VEGFA,0.3209699,0.628989676,0.526166265,0.168204198,FALSE
HES1,0.379879409,0.412458676,0.482644221,0.194158456,FALSE
FZD7,0.335455872,0.816774442,0.77306227,0.259830077,FALSE
MMP14,0.54735628,0.619842607,0.814535895,0.271871947,FALSE
ID2,0.184699111,0.558527979,0.239856188,0.326311155,FALSE
CCND1,0.264266018,0.786509642,0.52360006,0.337443314,FALSE
LAMC2,-0.264010212,0.466592764,-0.295503986,0.341467529,FALSE
TBX3,0.489016672,0.566949578,0.634628022,0.36579111,TRUE
TERT,0.203118501,0.48640659,0.211813043,0.40705701,FALSE
CDKN2A,0.289987699,0.54442267,0.306623096,0.446163031,FALSE
CLDN1,0.456113198,0.775261607,0.754771626,0.517040705,FALSE
NRCAM,-0.78252091,0.692324051,-0.839849205,0.601029797,FALSE
TCF4,0.055852049,0.944448156,0.247891272,0.601190986,FALSE
TNC,0.168334772,0.891723188,0.377692746,0.60864788,FALSE
S100A4,-0.100479773,0.84954272,-0.185895901,0.629232426,FALSE
PTGS2,0.190088342,0.707164987,0.202908553,0.639868237,FALSE
ABCB1,-0.324213668,0.775261607,-0.391570531,0.669804888,FALSE
FGF18,0.077699407,0.821010225,0.113303862,0.68965516,FALSE
FST,0.275040799,0.67573551,0.247721814,0.689901671,FALSE
MMP7,0.111861126,0.66157864,0.089493496,0.706267963,FALSE
KRT5,0.101299961,0.749836858,0.098249777,0.710160909,FALSE
FGF4,-0.069063313,0.799798484,-0.077130819,0.721909324,FALSE
NEUROG1,-0.091332831,0.822232371,-0.120046595,0.727932683,FALSE
DKK1,0.172376574,0.864363649,0.26244939,0.732760201,FALSE
EDN1,-0.229165972,0.833128998,-0.2697955,0.77994345,FALSE
TBXT,-0.078013153,0.753938821,-0.059373376,0.786103081,FALSE
PLAU,-0.11038394,0.754492389,-0.063522091,0.805205961,FALSE
HNF1A,-0.088296205,0.82644437,-0.088153759,0.807045744,FALSE
CTLA4,-0.049850054,0.907181556,-0.088870229,0.807843374,FALSE
FGFBP1,0.075028162,0.745076246,0.043150262,0.842424227,FALSE
NEUROD1,0.052013619,0.864526007,0.0517497,0.851969069,FALSE
FOSL1,0.01940973,0.983002612,0.090217594,0.914747401,FALSE
NOS2,0.029780833,0.926740129,0.026515283,0.931372713,FALSE
NEDD9,-0.052501784,0.900753977,-0.028570385,0.93630894,FALSE
GBX2,-0.011513349,0.971722513,-0.022123752,0.941059275,FALSE
CDX1,0.024699811,0.934384219,-0.02009413,0.941123522,FALSE
L1CAM,0.047099107,0.921736179,0.010609811,0.981162314,FALSE
JUN,-0.010630331,0.990982555,0.017688354,0.986425147,FALSE
