"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"RORB-AS1","17094943","RORB-AS1",6.96996903634227e-10,8.64962576568879,1.33910531465217,2.42363647841935,0.160898111262468,31,1.82362269866859e-05
"","16803706",NA,NA,NA,NA,NA,NA,NA,NA
"NUPR1","16825371","NUPR1",1.37764089978789e-06,-5.91804917379618,-2.19353629546739,8.43583860951613,0.385211980366904,31,0.0109940882605872
"RORB","17085951","RORB",1.47243552631763e-06,5.89508831312937,3.25734819611956,4.60746748322581,0.574258457074581,31,0.0109940882605872
"CTXND1","16812350","CTXND1",1.68079624836985e-06,5.84944575087599,1.06359407805978,4.14801205467742,0.188970809335121,31,0.0109940882605872
"LRRC8D","16667000","LRRC8D",2.58383505302599e-06,5.70134277291736,0.940018724548912,4.43059433812903,0.171353461672007,31,0.0132779227016458
"GPSM2","16668079","GPSM2",3.48627712498735e-06,5.59830788318991,1.64403025159782,4.62251420103226,0.305201424019155,31,0.0132779227016458
"ABCB4","17059451","ABCB4",3.55241778441831e-06,5.59184661352707,2.31442071019022,5.86838128612903,0.430150653393675,31,0.0132779227016458
"SEC23A","16792226","SEC23A",5.5801739978777e-06,5.4366679757634,0.660501301315216,6.51756655516129,0.126262503687445,31,0.0164512450518646
"CHL1","16936761","CHL1",5.86359499141679e-06,5.41965009002877,2.56795807046195,3.73920272180645,0.492436471099249,31,0.0164512450518646
"DNM3","16673842","DNM3",6.37144942660746e-06,5.39111930107688,1.52024032169565,6.35037681932258,0.2930669434267,31,0.0164512450518646
"ARHGAP12","16713057","ARHGAP12",6.91651488956239e-06,5.36292608968039,1.07336161082065,7.59251398303226,0.208006916922849,31,0.0164512450518646
"MIR3714|PLCL2","16938182","MIR3714|PLCL2",7.69750751803833e-06,5.32618157847421,1.21001573215761,6.05564263364516,0.236106845465341,31,0.0167831322251629
"CTDSPL2","16800406","CTDSPL2",1.15671400951764e-05,5.18628284849952,0.904350783195648,6.35227878658065,0.181223390184248,31,0.0227959668456015
"PXN","16771242","PXN",1.21978113376556e-05,-5.16804168566014,-1.22393642711957,6.41156052003226,0.246131037652043,31,0.0227959668456015
"C1RL","16760714","C1RL",1.40734867038945e-05,-5.11888444589687,-1.25834535091848,5.78841187493548,0.255480673952336,31,0.0239550232198274
"SNORD114-20","16788681","SNORD114-20",1.46491504172618e-05,5.10510382259877,2.64725035261956,3.44798994145161,0.538919584352218,31,0.0239550232198274
"KCNK2","16677451","KCNK2",1.69870752243067e-05,5.05419180699457,2.37295919590761,5.04160020990323,0.487946358315351,31,0.0260855418977038
"ENPP6","16981931","ENPP6",1.79460233205423e-05,5.03530367022554,1.19385767641848,3.24826606454839,0.246411186062982,31,0.0260855418977038
"IL34","16820822","IL34",1.9151416970539e-05,5.01293950824435,1.73524732321739,5.7382091336129,0.359751364025276,31,0.0262150932550896
"PTPN7","16697995","PTPN7",2.00390561497398e-05,4.99734986794773,1.16096865148913,4.54609220054839,0.241442804694363,31,0.0262150932550896
"CYP4F35P","16851254","CYP4F35P",2.50960643832062e-05,4.91987433189258,1.17750497077717,3.65993847887097,0.24873807530721,31,0.0300948466752771
"MAPRE3","16877987","MAPRE3",2.53716280321202e-05,-4.91611238114886,-0.906412646826089,5.26999065870968,0.191618609502087,31,0.0300948466752771
