"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"RORB","17085951","RORB",2.07474468638174e-11,10.9062390800648,3.71838507719444,4.44994310134615,0.356880006987096,26,5.42836199744919e-07
"ANKRD20A5P","16851230","ANKRD20A5P",8.06590558274626e-10,9.19880873985477,3.85059699870833,3.50975861469231,0.438166678959333,26,1.05518176833487e-05
"MIR3714|PLCL2","16938182","MIR3714|PLCL2",3.22780925577420e-09,8.59411639497704,1.45947094765278,5.94299327761538,0.177761248604682,26,2.81508004560253e-05
"NUPR1","16825371","NUPR1",5.73320225585679e-09,-8.34960364763145,-2.54822991547222,8.572535369,0.319459361126581,26,3.00863338484141e-05
"RORB-AS1","17094943","RORB-AS1",5.74956693326978e-09,8.34839879485294,1.375809539,2.464682701,0.172503534769495,26,3.00863338484141e-05
"PGM5P4-AS1|PGM5P3-AS1|PGM5-AS1","17085516","PGM5P4-AS1|PGM5P3-AS1|PGM5-AS1",1.16735205581323e-08,8.05149883268347,2.67006659733333,5.11083048419231,0.347126866965555,26,5.09043319804955e-05
"DAAM2","17008341","DAAM2",1.62770501368141e-08,7.91377598710352,2.12843311294444,5.05835192734615,0.281526397661076,26,5.67954874752648e-05
"TMEM252","17094674","TMEM252",2.13672662729932e-08,7.80179938415931,1.332321723,4.00852366653846,0.178754588812201,26,5.67954874752648e-05
"PLCL2-AS1","16951354","PLCL2-AS1",2.13999325883593e-08,7.80117260809066,2.53342525981944,4.95829817911538,0.339931239883456,26,5.67954874752648e-05
"KCNK2","16677451","KCNK2",2.24637991089369e-08,7.78127714768325,2.67513416968055,4.9501668755,0.359863296364817,26,5.67954874752648e-05
"ABCB4","17059451","ABCB4",2.4141681828494e-08,7.75177637596818,2.68982102901389,5.72334834630769,0.363216039032395,26,5.67954874752648e-05
"CCN3","17072135","CCN3",2.60489928796506e-08,7.72068524812911,4.059488155625,6.51883249865385,0.550374494915547,26,5.67954874752648e-05
"SYTL2","16742963","SYTL2",2.99259636952035e-08,7.66408393442808,2.47485939572222,5.43061669246154,0.338012800396759,26,6.02294549324081e-05
"PGM5-AS1|PGM5P4-AS1|PGM5P3-AS1","17094667","PGM5-AS1|PGM5P4-AS1|PGM5P3-AS1",4.50110126480554e-08,7.49852364152039,3.73042932131944,5.99664527261538,0.520745972860054,26,8.41191524945516e-05
"","17085627",NA,NA,NA,NA,NA,NA,NA,NA
"ISM1","16911517","ISM1",6.92417081259063e-08,7.32532666725504,3.20843210981944,4.971105903,0.458467681584926,26,0.000120776003427081
"KCNJ5","16733397","KCNJ5",8.14741472275023e-08,7.26029253215275,1.30911920763889,4.40186897515385,0.18874173561281,26,0.000133230599253773
"PGM5|PGM5P2","17125282","PGM5|PGM5P2",8.98568244362603e-08,7.22124258480341,1.92971693979166,6.90075485073077,0.279720659664708,26,0.00013829493850296
"LARGE2","16724235","LARGE2",1.05393358543526e-07,7.1578070598191,0.845854360069442,4.44797269307692,0.123696802549759,26,0.000153195101829601
"ZNF711","17105163","ZNF711",1.6536825370649e-07,6.97965029286758,3.15555724101389,4.50968728065385,0.473244165434215,26,0.000227720788946136
"ASTN1","16696689","ASTN1",1.85162422949286e-07,6.93516764233215,2.03424405509722,5.935613626,0.307035760614648,26,0.0002417555662428
"PGM5","17085610","PGM5",1.9404016553657e-07,6.91676816502487,1.96046258325,5.80102041538462,0.296686788584486,26,0.0002417555662428
"NR4A3","17087517","NR4A3",2.18518695870465e-07,6.87015945595882,2.56249793125,4.67421660342308,0.390426758823803,26,0.000259878325397947
"NPNT","16969495","NPNT",2.49254719726678e-07,6.81864337699883,1.87495439404166,4.43019498515385,0.287829697112212,26,0.00027423657209341
"SLC29A1","17009193","SLC29A1",2.51554721382122e-07,-6.81505223166651,-1.35851496238889,7.72945918007692,0.208659473113125,26,0.00027423657209341
"MAML3","16980031","MAML3",3.13636137152059e-07,6.72898363825895,1.22715505819444,5.43872796830769,0.190894246300373,26,0.000317975958799839
"PPP2R5C","16788833","PPP2R5C",3.15982836293984e-07,6.72608050741683,0.801566441361109,5.036904721,0.124744192023791,26,0.000317975958799839
"SHOC1","17097240","SHOC1",3.39383922898654e-07,6.69827470613671,3.09051029884722,4.97497744457692,0.48295882877811,26,0.000328875591063718
"LRRC8D","16667000","LRRC8D",4.67058240866526e-07,6.57439280123805,1.04455464254167,4.40487437130769,0.166310007963272,26,0.00043643256478685
"UGCG","17088100","UGCG",5.02413155780681e-07,6.54617323650531,2.49446404838888,7.67873300011538,0.398871148722774,26,0.000453280614063646
"DNM3","16673842","DNM3",5.80894747360844e-07,6.49013545432113,1.613560566,6.36121666615385,0.2602401973892,26,0.000502734129517112
"FRG1HP","17094671","FRG1HP",5.95656551560559e-07,6.48045969943678,2.14570922858333,4.62846582184615,0.34658353258528,26,0.000502734129517112
"ETV5","16962380","ETV5",6.34414930948174e-07,6.4561700577313,1.47076058826388,6.09923635207692,0.238456898723918,26,0.0005187135079165
"PLD5","16701119","PLD5",6.58698141013311e-07,6.44170792736209,3.01061333151389,5.49972558465385,0.489211682869992,26,0.000522247823074917
"ARHGAP12","16713057","ARHGAP12",7.08163907942717e-07,6.41385161757261,1.21939802429166,7.54468041692308,0.199007501691594,26,0.0005413949046863
"H2AC21","16692636","H2AC21",7.24232596851419e-07,6.40522614554864,1.80417390263888,8.20123454019231,0.294840268363482,26,0.0005413949046863
"AXIN2","16847933","AXIN2",7.75141448805054e-07,6.37912806575789,1.61674563620833,5.47269468992308,0.265291445122191,26,0.000563355579625984
"PGM5-AS1","17085507","PGM5-AS1",9.72241064810973e-07,6.29227541872803,0.98398089734722,6.46993181080769,0.163689873292648,26,0.000671116298391435
"CHL1","16936761","CHL1",9.74714085723687e-07,6.29130312403721,2.76267321881944,3.73184201465385,0.459654775134276,26,0.000671116298391435
"COL11A1","16690211","COL11A1",1.15842229680083e-06,6.22529679038722,2.33534952359722,4.49959663096154,0.392676306142368,26,0.000777152845474277
"ABR","16839294","ABR",1.20177214837889e-06,6.21127300514422,1.60465114843055,7.17440070934615,0.270422536513976,26,0.000778771069100637
"DNAH11","17044071","DNAH11",1.22036438744558e-06,-6.20541478375967,-2.17255943861111,5.05970650984615,0.366474465527019,26,0.000778771069100637
"SLC12A2","16988801","SLC12A2",1.28299066865735e-06,6.18632684784768,1.37819305151389,7.47691882757692,0.233195445117185,26,0.000799242091779781
"LEF1","16978834","LEF1",1.33747964170059e-06,6.17047200891059,2.85460021629167,5.26650588092308,0.484250164462075,26,0.000813809705708236
"C1RL","16760714","C1RL",1.50554059031513e-06,-6.1253998132673,-1.411855522375,5.83223924669231,0.241267422731382,26,0.000882848438040075
"RNF14","16990423","RNF14",1.51842912826033e-06,-6.12215650927503,-0.914010658597226,7.61497993442308,0.156275069756426,26,0.000882848438040075
"AFF3","16901068","AFF3",1.66915452393353e-06,6.08617141999441,1.82141351318055,4.55370476307692,0.31326165864776,26,0.000949386064439064
"CTNNB1","16939558","CTNNB1",1.76905377434906e-06,6.06409091745513,1.02091938322222,8.60113214626923,0.176225444457388,26,0.000984798360682315
"SEC23A","16792226","SEC23A",1.90422056295356e-06,6.0361451590743,0.711938140305553,6.51473565676923,0.123459767172624,26,0.00103795889185661
"ASXL1","16912552","ASXL1",2.24614866457504e-06,5.97355428459644,0.773844792874997,5.71521685411538,0.135601320579568,26,0.00119935170734574
"GPSM2","16668079","GPSM2",2.45321643786716e-06,5.94018199548159,1.77789952791666,4.61142506192308,0.313292741151727,26,0.00128371909760713
"TMBIM4","16767142","TMBIM4",2.51661777558356e-06,-5.93053197236253,-0.646030107208334,6.68133268930769,0.114025497447252,26,0.00129107426432095
"PXN","16771242","PXN",2.66498773829543e-06,-5.90887759856648,-1.37827309025,6.45766771723077,0.244159233185316,26,0.00133530996828828
"NAGS","16834689","NAGS",2.70491623296434e-06,5.9032581421496,0.632640832013885,4.52979242565385,0.112178160223049,26,0.00133530996828828
"SDC4","16919567","SDC4",2.99031898156647e-06,-5.86537858823239,-1.60271912295833,8.57564109930769,0.286025160797386,26,0.00144886492284639
"NIPAL2","17079448","NIPAL2",3.47876147768077e-06,-5.80832195576968,-1.30182963154167,6.15715857011539,0.234609903159228,26,0.00165487846003709
"SYNE1","17024775","SYNE1",3.71306435157338e-06,5.7837685813263,1.16340980866667,5.89218040365385,0.210554574990843,26,0.00173479670883153
"HAO2-IT1","16669361","HAO2-IT1",3.87257643892539e-06,5.76793246635154,1.39843448991667,2.65285229819231,0.253784345120208,26,0.00174577065158836
