"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"","233196_at",NA,NA,NA,NA,NA,NA,NA,NA
"ISM1","235182_at","ISM1",1.31247834657957e-07,6.67373189321371,1.06286728509717,2.60306958378125,0.165285745602487,32,0.00274111102683143
"NRXN2","209982_s_at","NRXN2",3.31834946852925e-07,6.35598815398666,0.565010826850203,2.44194671125,0.0922568894720172,32,0.00326943035403358
"APCDD1","225016_at","APCDD1",4.69633280445331e-07,6.23761405383105,0.773955389591094,2.92244160296875,0.128772327732946,32,0.00326943035403358
"VAMP7","202829_s_at","VAMP7",1.55385651456684e-06,-5.83168724395212,-0.292060784574898,3.6871674716875,0.0519761539446423,32,0.0081130733266821
"AGPAT4","219693_at","AGPAT4",4.21112292316683e-06,5.49483917879142,0.343107442153847,2.572828834375,0.0648037695731382,32,0.0138704296538102
"GOLGA7B","228068_at","GOLGA7B",5.41843020771089e-06,5.40973920349616,0.331697821097167,2.54084334603125,0.0636343198993849,32,0.0138704296538102
"ENOX2","204643_s_at","ENOX2",5.47563296608187e-06,-5.40619381443391,-0.329721129392711,2.7902631335,0.0632965857410463,32,0.0138704296538102
"ITGA2","205032_at","ITGA2",6.24667602491683e-06,5.36171600272415,0.474340264040487,2.6675900756875,0.0918145058852932,32,0.0138704296538102
"PDE2A","204134_at","PDE2A",6.85666157552752e-06,5.33025709422084,0.868497207101217,3.4255999134375,0.169100692603969,32,0.0138704296538102
"SHOC1","233504_at","SHOC1",7.16399038673315e-06,5.31545130274649,0.909867576271256,2.87230951828125,0.177649161615361,32,0.0138704296538102
"AIFM1","205512_s_at","AIFM1",7.30546929336424e-06,-5.30884742496886,-0.377131831336032,3.423146719625,0.0737255571241979,32,0.0138704296538102
"PLCL2","213309_at","PLCL2",1.03390874805148e-05,5.19152508378344,0.524702574352228,3.20231339109375,0.104892238872876,32,0.0166925260022521
"ABCB4","207819_s_at","ABCB4",1.03903681124863e-05,5.18985306265745,0.965624003113361,2.98886103384375,0.193098147653121,32,0.0166925260022521
"GLUD2","210447_at","GLUD2",1.13364077182504e-05,-5.16040053612821,-0.363553302044533,2.49301781778125,0.0731155580271275,32,0.0169114910854043
"MTM1","204101_at","MTM1",1.23498690144328e-05,-5.13145191454351,-0.23442678948178,2.6677708215625,0.0474124167667069,32,0.0171951342910952
"TRMT2B","205238_at","TRMT2B",1.36000439034487e-05,-5.09884102726334,-0.316546611967611,2.818679700625,0.0644304723114042,32,0.0177523073077204
"CRACDL","228067_at","CRACDL",2.01325168703085e-05,-4.96604137043064,-0.382141266587044,2.50646560534375,0.0798617316062483,32,0.0236985576107109
"SH3BGRL","201312_s_at","SH3BGRL",2.31805112678407e-05,-4.91824804265381,-0.205217812801619,4.0186918228125,0.0433041724805065,32,0.0236985576107109
"WDR45","209216_at","WDR45",2.32308904882829e-05,-4.91751172234478,-0.291092879591092,3.47498223071875,0.0614343539434296,32,0.0236985576107109
"APOOL","213282_at","APOOL",2.41911294521151e-05,-4.90377267210427,-0.279397322076923,3.23269821290625,0.059131245562208,32,0.0236985576107109
"CIB4","236378_at","CIB4",2.44692077210357e-05,4.89989504078879,0.400824345085021,2.556341358875,0.084897017120157,32,0.0236985576107109
"MSI2","226134_s_at","MSI2",2.51426179249564e-05,4.89068322286356,0.293218295068826,3.5181423706875,0.0622223841016372,32,0.0236985576107109
"CHL1","204591_at","CHL1",2.60984833634834e-05,4.8780199691571,0.790274851174089,2.4261776575,0.168135610387171,32,0.0236985576107109
"UGCG","221765_at","UGCG",2.80772679372106e-05,4.85320767854372,0.570923724113362,3.3592768735,0.122088379980696,32,0.0237515129033931
"UST","205138_s_at","UST",2.84313058455747e-05,4.84895217015869,0.451337361271256,2.3747209634375,0.0966003060296605,32,0.0237515129033931
"SHISA3","229485_x_at","SHISA3",3.01825299552764e-05,-4.82864755038024,-0.635311203072874,2.54691958859375,0.136548245407313,32,0.0242446976198441
"ETV5","203348_s_at","ETV5",3.48405904905213e-05,4.77985643963025,0.38027348674494,3.1902163609375,0.0825669630514726,32,0.0245078820851043
"SESN3","235684_s_at","SESN3",3.6325228659867e-05,4.76565958856596,0.231655896939271,2.2404428805,0.0504481749528198,32,0.0245078820851043
"NKD1","229481_at","NKD1",3.71683348789195e-05,4.75785142748912,0.327525367623482,2.21360908628125,0.0714429178466898,32,0.0245078820851043
"ANTXR1","220093_at","ANTXR1",3.73097614221943e-05,4.75655887378838,0.182165680275305,2.333969779875,0.0397464916637441,32,0.0245078820851043
"NKAP","223439_at","NKAP",3.75264519811253e-05,-4.75458784579667,-0.206445280384614,3.03046869484375,0.0450626990045998,32,0.0245078820851043
"TMPRSS3","223949_at","TMPRSS3",3.75509804512012e-05,4.75436544498749,0.461428365287451,2.2748752671875,0.100724899924456,32,0.0245078820851043
"CD99L2","233825_s_at","CD99L2",4.34368486523091e-05,-4.70477353923395,-0.323908819878541,3.1536613711875,0.0714511407717168,32,0.0267130152722956
"CD47","213857_s_at","CD47",4.34877912022049e-05,4.70437407425464,0.15661645611336,3.931779838875,0.0345510031974161,32,0.0267130152722956
"GIMAP8","235306_at","GIMAP8",4.99001426560466e-05,-4.65746708358096,-0.33750440605668,2.79832170725,0.0752063947032599,32,0.0297761279820438
"STS","203768_s_at","STS",5.27650880825245e-05,-4.63841045684088,-0.256702790457489,2.43264325121875,0.0574363098360422,32,0.0306110795723201
"FAM221A","228600_x_at","FAM221A",5.52180152750964e-05,-4.62289124931564,-0.265295070842104,2.7026789843125,0.0595580706948332,32,0.0306423688885738
"SNX12","224684_at","SNX12",5.72746167615607e-05,-4.61039649866005,-0.206587528068825,3.46440191840625,0.0465040674023163,32,0.0306423688885738
"SLC12A2-DT","235628_x_at","SLC12A2-DT",6.07781562349534e-05,-4.59009931351001,-0.133781551866396,2.64688008434375,0.0302481810816759,32,0.0306423688885738
"PDLIM2","219165_at","PDLIM2",6.07994148506991e-05,4.58997972186016,0.39314363182996,2.9271378280625,0.0888925972453951,32,0.0306423688885738
"SNX18","226683_at","SNX18",6.34043804307016e-05,-4.57562970605807,-0.271556380307692,3.4403946815,0.0615934112327669,32,0.0306423688885738
"MGAT4A","226039_at","MGAT4A",6.42916886829871e-05,-4.57087458288546,-0.386786612072875,2.8287402776875,0.0878207709374853,32,0.0306423688885738
"PEG10","212094_at","PEG10",6.47970503596526e-05,4.56819524486694,0.611091365040486,3.79384935846875,0.138831049475207,32,0.0306423688885738
"EIF4E2","213571_s_at","EIF4E2",6.48150020260852e-05,4.56810044869937,0.234644833064779,3.38103843690625,0.0533089915868191,32,0.0306423688885738
"NOSTRIN","226992_at","NOSTRIN",6.60237778303002e-05,4.56177633570914,0.633990282744939,3.0801237863125,0.144236020140502,32,0.0306423688885738
"PTPRB","205846_at","PTPRB",7.06516395882318e-05,-4.53857829629157,-0.189658478704453,2.4500530305,0.0433688141995167,32,0.0320773802782657
"ZZEF1","207190_at","ZZEF1",7.67197846443457e-05,4.51033780416777,0.293179809076924,2.3431653684375,0.0674605853060038,32,0.0340913340914289
"MTMR12","225232_at","MTMR12",8.46870298631913e-05,-4.47643690086949,-0.227549951696355,3.39675023828125,0.0527557009278519,32,0.036847679556099
"SMAD2","226563_at","SMAD2",8.70027229774567e-05,4.46717320022689,0.298905207165994,3.2828533799375,0.0694425734339629,32,0.0370826912119221
"AXIN2","222696_at","AXIN2",9.78828429073769e-05,4.42667160456989,0.425770644153848,2.8768639631875,0.099821370189913,32,0.0407649948225996
"FRMD3","230645_at","FRMD3",9.95458336582513e-05,-4.42087561969901,-0.371006838064777,2.7422868905625,0.0870961052966926,32,0.0407649948225996
"ITIH4","37201_at","ITIH4",0.000104163008542913,4.40527050622455,0.21170028920243,2.35120938959375,0.0498739754166273,32,0.0415723441908026
"RNF43","218704_at","RNF43",0.000105498407570627,4.40088416211173,0.469394829275305,2.68236133065625,0.11069384696811,32,0.0415723441908026
"EMB|EMBP1","226789_at","EMB|EMBP1",0.00010797621429756,-4.39288846035102,-0.724819857659918,2.9912389775625,0.17123992299318,32,0.0417608006593432
"TSPAN33","225775_at","TSPAN33",0.000110793652260694,-4.38401362751661,-0.350824866514169,2.63611573903125,0.083050756017984,32,0.041799529648416
"ANO5","229313_at","ANO5",0.000112079179330203,-4.38003790507304,-0.441571799898785,2.44916178134375,0.104628157719914,32,0.041799529648416
"MON1B","233557_s_at","MON1B",0.000124331256809448,-4.34425371322276,-0.193822629971659,2.89956345846875,0.0463035638041042,32,0.0443411662795026
"TCEAL9","217975_at","TCEAL9",0.000125177160966306,-4.34191294206762,-0.153446642408907,4.08962226446875,0.0366776410323094,32,0.0443411662795026
"BRD7","228289_at","BRD7",0.000126655892997122,-4.33785818455688,-0.190943406927125,2.42841418909375,0.0456829808859473,32,0.0443411662795026
"LANCL2","218219_s_at","LANCL2",0.000129884096095835,-4.32916586324304,-0.246760095809716,3.11156962265625,0.0591555943261166,32,0.0443411662795026
"RESF1","218614_at","RESF1",0.000131272059740423,-4.32549380167611,-0.209374139720647,3.09471285584375,0.0502357005490918,32,0.0443411662795026
"ZBTB7C","227782_at","ZBTB7C",0.000131632861351648,4.32454550657878,0.515567957234819,2.62226288646875,0.123728732370137,32,0.0443411662795026
"TNFSF4","207426_s_at","TNFSF4",0.000134313613492994,4.31757877949869,0.572674258931175,2.613010766375,0.137655164264644,32,0.0443756827778614
"VSNL1","203797_at","VSNL1",0.000136618038201108,4.31169857411324,0.771900766850203,2.839706405375,0.18579678605543,32,0.0443756827778614
"HFE","214647_s_at","HFE",0.000141962265359714,-4.2984289351801,-0.217907944906881,2.47551912475,0.0526124384729293,32,0.0443756827778614
"HNRNPH2|RPL36A-HNRNPH2","201132_at","HNRNPH2|RPL36A-HNRNPH2",0.000142257818820281,-4.29770949589654,-0.209275686089069,3.701919238,0.0505366948795565,32,0.0443756827778614
"TXNRD1","201266_at","TXNRD1",0.000147609791671483,-4.28492998933339,-0.234993014890688,3.9944097784375,0.0569162580534243,32,0.0443756827778614
"ZC3H18","226108_at","ZC3H18",0.000149091305136161,-4.28147292539887,-0.167938424753036,3.0515462243125,0.0407082085015619,32,0.0443756827778614
"JADE2","212660_at","JADE2",0.000152445310531417,-4.27376966345481,-0.351081315587042,3.5506472414375,0.0852553658048459,32,0.0443756827778614
"MUCL1","1553602_at","MUCL1",0.000154118954586802,4.269987862406,0.748325200064778,2.479011071,0.181881633911628,32,0.0443756827778614
"AMOTL1","225450_at","AMOTL1",0.000155972089489216,4.26584730459401,0.294361364400809,2.87168502865625,0.0716144430003893,32,0.0443756827778614
"CCN3","214321_at","CCN3",0.000158440246631631,4.26040705296573,0.87981204994737,3.55002385034375,0.214320605649725,32,0.0443756827778614
"LPA","207584_at","LPA",0.00015933784792105,4.25844921925174,0.279852544522267,2.19226969384375,0.0682029098885428,32,0.0443756827778614
"RAB35","221819_at","RAB35",0.000161056956738469,-4.2547296080946,-0.159536938591092,3.16825597875,0.0389147644060723,32,0.0443756827778614
"SYNE1","232027_at","SYNE1",0.000162373308688584,4.25190772531594,0.332524344720647,2.2491083869375,0.0811642411300572,32,0.0443756827778614
"HCP5","206082_at","HCP5",0.000162852479277664,-4.25088609966474,-0.570062426550606,2.6413655346875,0.139177190621846,32,0.0443756827778614
"PDCD1","207634_at","PDCD1",0.000163606778735711,-4.24928385077042,-0.178085373898785,2.12955998190625,0.0434948288954263,32,0.0443756827778614
"AGPAT4-IT1","223740_at","AGPAT4-IT1",0.000175115631699111,4.2256985130719,0.206789767963563,2.44538942365625,0.0507873618900854,32,0.0453203828943615
"TIMP3","201148_s_at","TIMP3",0.000175117105102522,4.22569559222227,0.561129319562755,3.208789815125,0.137812899539263,32,0.0453203828943615
"NPAS2","39548_at","NPAS2",0.000175829450965082,4.22428626987725,0.296519717846154,2.600043284375,0.072849295063799,32,0.0453203828943615
"COX20","206848_at","COX20",0.000178126904419067,4.21977884775612,0.328234545842106,2.84586169240625,0.0807271673497001,32,0.0453203828943615
"SEL1L3","212314_at","SEL1L3",0.000180799835151321,-4.21460608787679,-0.603541170372468,2.8523541720625,0.148619237093197,32,0.0453203828943615
"SGPP2","226560_at","SGPP2",0.000182168872319483,-4.21198568987235,-0.703154842906882,2.7653371334375,0.173256366537058,32,0.0453203828943615
"ZNF516","203604_at","ZNF516",0.0001838954363675,4.2087084096168,0.179380691736842,2.56587042028125,0.0442335681627041,32,0.0453203828943615
"RAB9A","221808_at","RAB9A",0.000184449726886317,-4.20766268750084,-0.29430923273684,3.5892435229375,0.0725918871498882,32,0.0453203828943615
"UBE2A","201899_s_at","UBE2A",0.000187926732421511,-4.20117254812459,-0.186814895740889,3.6785727295,0.0461494043464769,32,0.0456377884491077
"CTHRC1","225681_at","CTHRC1",0.00019546671630597,4.18749436199141,0.577488862919028,3.21839223871875,0.143124668851844,32,0.0467005230992276
"PDZD11","223037_at","PDZD11",0.000197467783246609,-4.18395121800552,-0.254153661530363,3.7862950936875,0.0630427102634096,32,0.0467005230992276
"MAP1LC3B","208786_s_at","MAP1LC3B",0.000202011183371829,-4.17603566064641,-0.18234990165182,3.890318425875,0.0453175530549174,32,0.0467005230992276
"SLC44A4","205597_at","SLC44A4",0.000203021761819197,4.1742987874987,0.353393061473684,2.48840409575,0.0878617003315128,32,0.0467005230992276
"LEF1","210948_s_at","LEF1",0.000204249319727177,4.17220037020184,0.390749719161943,2.39220474509375,0.0971982922019288,32,0.0467005230992276
"MYO19","219320_at","MYO19",0.00020813930772236,4.16563154403868,0.198106457923077,2.56296743853125,0.0493563342520935,32,0.0467005230992276
"RNF125","207735_at","RNF125",0.00020958608265233,-4.16321913804076,-0.190922995497975,2.3101661335,0.0475942059308981,32,0.0467005230992276
"GCC1","218912_at","GCC1",0.000210191485340071,-4.16221451261388,-0.238973832967611,2.91029518009375,0.0595869295516302,32,0.0467005230992276
"RPL17","214291_at","RPL17",0.000213184307542865,4.15728946071583,0.245797363392715,3.0180984935625,0.0613609497104282,32,0.0468668869792919
"RAB30","228003_at","RAB30",0.000222614121801881,4.1422035444762,0.288819747890689,2.78979980484375,0.0723636668681787,32,0.0477704912252883
"GATA3","209603_at","GATA3",0.000223507465914811,4.14080701586397,0.298214069987855,2.25948413540625,0.0747426095295135,32,0.0477704912252883
"ARMCX5","219335_at","ARMCX5",0.000224156482646792,-4.13979586307039,-0.25723148805263,3.09758519803125,0.0644867249031322,32,0.0477704912252883
"B3GALNT2","1561714_a_at","B3GALNT2",0.000231651378951252,4.12832260617055,0.101070869174089,2.1490771628125,0.0254084100632559,32,0.0488690813070394
"WDFY3-AS2","238081_at","WDFY3-AS2",0.000237678761767088,4.11935684655417,0.331326219955467,2.73353619459375,0.0834740543301325,32,0.0495878798014419
"XK","206698_at","XK",0.000243805919956453,-4.11046825897623,-0.37107046642915,2.43060685775,0.0936893461939598,32,0.0495878798014419
"ATG10","243477_at","ATG10",0.000245291588497071,-4.10834600678902,-0.153782097834007,2.26599844328125,0.0388475724387038,32,0.0495878798014419
"DLG1","217208_s_at","DLG1",0.000249064560229874,4.10301248409202,0.321353109004049,2.627288966375,0.0812839471159172,32,0.0495878798014419
"ZBTB24","1554036_at","ZBTB24",0.000255997454754657,4.0934152423276,0.201158785044536,2.2375916756875,0.0510009561961777,32,0.0495878798014419
"HSPA9","200690_at","HSPA9",0.000256877306929915,-4.09221551052528,-0.314401368408906,3.39519751103125,0.0797353761848952,32,0.0495878798014419
"SLC27A2","205768_s_at","SLC27A2",0.000257273842311237,-4.09167612587412,-0.539029253854249,2.4528141419375,0.136721307357674,32,0.0495878798014419
"DIAPH2","217246_s_at","DIAPH2",0.000257644524615275,-4.09117264368139,-0.13533244585425,2.2254606311875,0.0343304298470172,32,0.0495878798014419
"EPHA4","206114_at","EPHA4",0.000260721762781047,4.08702014898418,0.465770398534413,2.4279011825625,0.118274255312005,32,0.0495878798014419
"RIT1","239843_at","RIT1",0.000262903784964974,4.08410466709602,0.230111748890689,2.68453112525,0.0584745713095845,32,0.0495878798014419
"SMYD2","212922_s_at","SMYD2",0.000263114670381745,4.08382415226316,0.265566902955468,3.5518379820625,0.0674888507366246,32,0.0495878798014419
"PEG13","229108_at","PEG13",0.000263725475026392,4.08301291509482,0.346754197218625,2.47235030509375,0.0881385882583227,32,0.0495878798014419
"PHAX","231812_x_at","PHAX",0.000266157487492088,-4.07980099677547,-0.185632600299594,2.9609984768125,0.0472215660137907,32,0.0495878798014419
"DENND11","223162_s_at","DENND11",0.000271427020566349,-4.07293910067633,-0.183132581979756,3.12476446278125,0.0466640919428378,32,0.0495878798014419
"CHD7","218829_s_at","CHD7",0.000272551482852757,-4.07149174381162,-0.288930403089068,2.67731162821875,0.0736486519569119,32,0.0495878798014419
"CALB2","205428_s_at","CALB2",0.000273047937618665,-4.07085458942221,-0.74195272139676,2.96320504740625,0.189154100091169,32,0.0495878798014419
"APBB2","212985_at","APBB2",0.000277639557924002,-4.06501484996763,-0.225285199206476,2.984780049875,0.0575169225425259,32,0.0499870876486446
"ABCB4|ABCB1","209994_s_at","ABCB4|ABCB1",0.000287932637115637,4.05226015097721,0.638566507315789,3.54699479428125,0.163543743447408,32,0.0510419490093373
"LAMC3","219407_s_at","LAMC3",0.00029019205329054,4.04952018414615,0.54385848497166,2.963357974625,0.139382245733776,32,0.0510419490093373
