"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"LEF1","16978834","LEF1",2.41531111584451e-14,10.9935873833901,2.85698341745454,5.69007406940909,0.267044994353538,44,6.31942000349559e-10
"UGCG","17088100","UGCG",3.49502129576222e-12,9.39440991983195,2.37467064113636,7.91716064938636,0.259746695602999,44,4.57218685911613e-08
"SYTL2","16742963","SYTL2",1.83379836612346e-11,8.88260032644839,2.33068412722727,5.71153913138636,0.269624561564753,44,1.59931668170848e-07
"SHOC1","17097240","SHOC1",4.51226667826563e-11,8.60826191399181,2.58898367631818,5.15343114384091,0.309050887238689,44,2.95147363425355e-07
"PDE2A","16741725","PDE2A",1.22933170567677e-10,8.30561437613149,2.12869106272727,5.53254869127273,0.263364375183379,44,5.55944071361211e-07
"NR4A3","17087517","NR4A3",1.27490614132673e-10,8.29467259241902,2.09594924640909,4.92500620561364,0.259655585125876,44,5.55944071361211e-07
"ZNF711","17105163","ZNF711",8.19592305140588e-10,7.73952538465811,2.68574489277273,4.86520321179545,0.356587885296231,44,3.06340186738548e-06
"","17097277",NA,NA,NA,NA,NA,NA,NA,NA
"SLF2","16708312","SLF2",2.44811217641756e-09,7.41633337605456,0.913030217681817,6.30655670243182,0.126506273309186,44,8.00655087297363e-06
"ABR","16839294","ABR",3.95998845601167e-09,7.2749035262504,1.32803949336364,7.28166346845455,0.187585777089369,44,1.061586889517e-05
"SLC12A2","16988801","SLC12A2",4.05743345634079e-09,7.26776324599637,1.27089075872727,7.73362758422727,0.179689874457644,44,1.061586889517e-05
"DAB2","16995645","DAB2",7.76202570066316e-09,7.07750005217437,1.45628631513636,7.58020351293182,0.211437999950633,44,1.84623309483773e-05
"ABCB4","17059451","ABCB4",8.919164016883e-09,7.03680536652725,1.98685046818182,5.81534054963636,0.29013879230533,44,1.94467506114772e-05
"PRKD3","16896502","PRKD3",1.05665927097787e-08,6.98719417753285,1.76311637577273,6.98633372888636,0.259295106879172,44,2.12664870506653e-05
"MAML3","16980031","MAML3",1.33168908323359e-08,6.91952498279098,0.92577673509091,5.47255559463636,0.137482093234434,44,2.45897282937597e-05
"SLC23A2","16916920","SLC23A2",1.40974592725269e-08,6.90286993365837,1.09978556054546,8.30878948145454,0.163717263879777,44,2.45897282937597e-05
"DACH1","16779701","DACH1",1.59948894143579e-08,6.8659573704831,2.7265586155,5.53800784252273,0.408065511270666,44,2.61556429148288e-05
"RNF39","17031459","RNF39",2.87222529895522e-08,-6.69497216626801,-1.03055344831818,5.33317703702273,0.158175020659522,44,4.42052368952143e-05
"COL26A1","17049717","COL26A1",3.76337630557272e-08,6.61610241054875,0.6814431385,5.36743453415909,0.105838471388178,44,5.47027653661136e-05
"BMP4","16793129","BMP4",4.62316651494572e-08,6.55606427860417,1.37236974059091,5.04200442815909,0.215101820304968,44,5.67959820677459e-05
"ETV4","16845410","ETV4",4.6752490522271e-08,6.55279587084221,0.877285295454547,4.32720419331818,0.137572099652148,44,5.67959820677459e-05
"STAR","17076318","STAR",4.74822205495482e-08,-6.54827726653454,-0.96895127754545,10.4655599898636,0.152051614024127,44,5.67959820677459e-05
"CCN3","17072135","CCN3",4.90785169591737e-08,6.53863032604686,3.01912586445454,6.886243315,0.474472000726611,44,5.67959820677459e-05
"ETV5","16962380","ETV5",5.18202730335296e-08,6.52277135588527,1.17454414840909,6.18940153925,0.185034770172995,44,5.67959820677459e-05
"PLCL2-AS1","16951354","PLCL2-AS1",5.20984394445001e-08,6.52120954017418,1.850532624,5.09635793245455,0.291598137365985,44,5.67959820677459e-05
"CA8","17077525","CA8",5.57975908119259e-08,-6.50119817021625,-2.33376826854545,4.84023392868182,0.368876068911665,44,5.83955266401291e-05
"ASTN1","16696689","ASTN1",6.29052472558931e-08,6.46622138557581,1.63358967704545,6.04704234243182,0.259602317795961,44,6.33020342001226e-05
"NHS","17101856","NHS",7.4019553474878e-08,6.41875981907217,1.01518156313636,5.48933830952273,0.162520725143806,44,7.05752298115222e-05
"ERN1","16847771","ERN1",7.81386684824845e-08,6.40296180029987,1.26676615877273,6.34303421506818,0.203297340268789,44,7.05752298115222e-05
"TCAF1","17063981","TCAF1",7.82251056617544e-08,-6.40263928163728,-0.854449676227275,7.91586938365909,0.137133515516934,44,7.05752298115222e-05
"MIR3714|PLCL2","16938182","MIR3714|PLCL2",1.2599075130528e-07,6.26358418693262,0.956048371500002,5.96913862347727,0.15684587519082,44,0.000109880733905045
"CHD7","17069272","CHD7",1.78529437514519e-07,-6.16184892446551,-0.853978670227272,4.28527840811364,0.142413818825955,44,0.000150678845262254
"ISM1","16911517","ISM1",2.83427821801895e-07,6.02682927369466,2.48069713022727,5.29861284229545,0.422961667925557,44,0.00022862370836571
"AXIN2","16847933","AXIN2",2.88639553036266e-07,6.02150315538236,1.37792676127273,5.67672181722727,0.235145878673475,44,0.00022862370836571
"MYO9A","16811312","MYO9A",2.9709547792517e-07,6.01306233825049,0.787941443090912,6.19650360081818,0.134652491021202,44,0.00022862370836571
"TAFA4","16955994","TAFA4",3.31299693011516e-07,5.98120105215012,1.8499844375,5.79270336765909,0.317830688613456,44,0.00024766071908438
"CGNL1","16801400","CGNL1",3.46728209769912e-07,5.96788893212325,1.62656578481818,5.9268640785,0.280070299297579,44,0.000251994357789444
"SGK1","17023810","SGK1",3.90572782954142e-07,-5.93305498641905,-1.2774077485,6.03136434715909,0.221241873623322,44,0.000276187737654383
"GBP2","16689354","GBP2",4.20502108795366e-07,-5.91144748689143,-1.82450419731818,6.63362036656818,0.317151803721169,44,0.00028601865221123
"CCDC170","17013795","CCDC170",4.26338764571089e-07,5.90741277274685,1.28478122718182,5.24602639145455,0.223484814833228,44,0.00028601865221123
"WDFY3","16977631","WDFY3",4.4235720937014e-07,5.89661614026285,0.956557609045456,7.57999984834091,0.166695712114101,44,0.000287426708820328
"FKBP10","16834196","FKBP10",4.66045587820555e-07,5.88134333098049,0.974582503818179,6.7402732815,0.170277879288754,44,0.000287426708820328
"CADM1","16744616","CADM1",4.71282764763738e-07,5.87807120877984,1.27640482572727,4.41295702572727,0.223136054382741,44,0.000287426708820328
"MIR4668","17088116","MIR4668",4.72379929646618e-07,5.87739030321565,1.05950156763636,2.28344489727273,0.185239340601905,44,0.000287426708820328
"SGPP2","16891555","SGPP2",5.25220078047455e-07,-5.84633433967629,-2.26193684177273,5.60359618902273,0.397569428067039,44,0.000312314957318946
"PRLR","16995177","PRLR",5.94839102329103e-07,-5.8098590606052,-2.87910811427273,6.36146622181818,0.509223609835736,44,0.000345852672740859
"ARHGAP12","16713057","ARHGAP12",6.24194332683052e-07,5.79573761283715,0.830349162863635,7.56347499270455,0.147220467102083,44,0.000355030880876508
"MAP4K5","16792754","MAP4K5",7.12372760226807e-07,5.75698330207978,0.645847841409092,6.27393430293182,0.115279317718313,44,0.000396564274437748
"MERTK","16884372","MERTK",7.29530085293272e-07,5.75000060887337,1.37683380672727,8.28976344336364,0.246053634962831,44,0.000397654690658608
"CZIB","16687328","CZIB",7.72088507143142e-07,-5.73336177259215,-0.396727555681818,7.39161061570455,0.0711048418687933,44,0.000410914367736007
