"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"LEF1","221558_s_at","LEF1",3.1945102325155e-12,10.4871111519137,0.947711316125001,3.27080931630303,0.0936835796382042,33,6.67173462060862e-08
"CCN3","214321_at","CCN3",7.81444806723945e-11,9.251806939266,1.22070731749265,3.56662875578788,0.136781785257327,33,8.16023739421479e-07
"PDE2A","204134_at","PDE2A",5.61796036252694e-09,7.70626458769408,0.986245965845588,3.42881223824242,0.132673627992561,33,3.91103673904584e-05
"APCDD1","225016_at","APCDD1",9.88732065604872e-09,7.50926533638405,0.815892123860294,2.93772136918182,0.112636350869752,33,5.16241729753944e-05
"GBP2","202748_at","GBP2",8.76157468836894e-08,-6.76129251260907,-0.614106222397057,2.97988737081818,0.0941579629362902,33,0.000365970974733171
"BMP4","211518_s_at","BMP4",1.17283800233213e-07,6.66257096909991,0.721234773102941,3.08990746039394,0.112222022300308,33,0.000408245361311775
"KCNJ5","238780_s_at","KCNJ5",2.20451654754204e-07,6.44976320161781,0.841645324643382,2.68280539427273,0.135278452507512,33,0.000585464647589916
"DACH1","205471_s_at","DACH1",2.41056239022729e-07,6.41971557519226,0.669030096621324,2.74957182139394,0.108037157566128,33,0.000585464647589916
"UGCG","221765_at","UGCG",2.52295036069392e-07,6.40439879166363,0.63360836247794,3.36178866781818,0.102561842692817,33,0.000585464647589916
"ASTN1","213197_at","ASTN1",4.03471263013101e-07,6.24685647174092,0.740805197117647,3.00142319072727,0.122937895453316,33,0.000746775431580289
"MERTK","211913_s_at","MERTK",4.12875362451465e-07,6.23913711989561,0.598424672261029,3.08600371318182,0.0994324731669331,33,0.000746775431580289
"DAGLB","226640_at","DAGLB",4.78542838266034e-07,-6.18971029301624,-0.223803994360294,2.92374621833333,0.0374835566368717,33,0.000746775431580289
"NFATC4","213345_at","NFATC4",5.08528756307111e-07,6.16936998359851,0.500551288080882,2.84639431809091,0.0841106615135958,33,0.000746775431580289
"FAM169A","235048_at","FAM169A",5.22353479188617e-07,6.16039514583402,0.693593345786765,3.16988537260606,0.11671848167208,33,0.000746775431580289
