"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",1696.69805911873,-0.00996751941431981,0.14885349705309,-0.0669619431968387,0.946612000098479,0.976912145192071
"TNMD",6.84058862954635,-1.36152333897078,0.424367514872582,-3.20835900782741,0.00133494745249429,0.0145321092617654
"DPM1",1842.69114780883,0.0115782397837084,0.119124338078608,0.0971945781228024,0.922571873692022,0.965896291379507
"SCYL3",321.148996002784,-0.151817470032649,0.11690254473925,-1.29866693981107,0.194058254449502,0.420220622698477
"C1orf112",129.774625534768,0.0392023827963934,0.186189364535001,0.210551139128163,0.833237542812486,0.921681590112575
"FGR",202.845049662398,-0.733609277269737,0.257035471379182,-2.8541168786292,0.0043156650615754,0.0335988826467825
"CFH",880.35822846166,-0.585778108434591,0.316787009548091,-1.84912288313282,0.0644400708317434,0.211801738827799
"FUCA2",3230.21783311431,0.086608303444175,0.153394052841132,0.564613176586932,0.572336900886516,0.768640928091509
"GCLC",1400.06179051176,-0.152109302057924,0.157758803409085,-0.964188994660972,0.334951180944054,0.5776202653538
"NFYA",874.248161764368,0.134485613832585,0.141337092888194,0.951523843347838,0.341338520692294,0.583768759733915
"STPG1",331.209984439372,-0.57394730665986,0.185940489516866,-3.08672580217016,0.00202374178072591,0.0198041573157652
"NIPAL3",970.820404832672,-0.202881792732774,0.118503218849405,-1.71203613456778,0.0868900095513857,0.255515688595526
"LAS1L",2129.86482958935,-0.105118273103181,0.12036206714207,-0.87335051315714,0.382472055572989,0.622479971131366
"ENPP4",897.102794892666,-0.789489716617271,0.307750295625964,-2.56535810960457,0.0103069367184336,0.0616412306773401
"SEMA3F",1163.25386022695,-0.460975736241774,0.16132890949939,-2.85736597161786,0.00427172996763867,0.0333163802578656
"CFTR",4.32213833451231,0.777256935874789,0.521970559193187,1.48908194568713,0.136465791391935,0.338631446160586
"ANKIB1",2517.3272615803,0.102137108846913,0.118243728780214,0.863784573613718,0.38770624370433,0.627448066599832
"CYP51A1",194.64170433767,0.441669777094509,0.388020947217261,1.13826271561367,0.255010797701176,0.493480104012494
"KRIT1",317.632641226959,0.0605032871600979,0.105859989776075,0.571540648058631,0.567633214760162,0.765104212598699
"RAD52",398.844409780349,-0.0896296303758531,0.138544904696857,-0.646935595155717,0.517673627328665,0.729558558647448
"MYH16",5.06696963194972,0.160543486675358,0.322454334393293,0.497879760175734,0.618568793805554,0.798145202466518
"BAD",463.359188268237,0.191368565932608,0.127973030584825,1.49538199617584,0.134814776481515,0.336336919134918
"LAP3",3008.57419353324,-0.194141985972369,0.186962832724537,-1.03839882581587,0.299084415997359,0.541107325788462
"CD99",7917.32906475926,0.0319182882937688,0.205747354516199,0.155133408003338,0.876716145218548,0.94339097071714
"HS3ST1",312.993123850018,1.46053400960766,0.278341767576577,5.24726857317898,1.54370779003823e-07,1.06299585343775e-05
"AOC1",18.5416059893128,0.206477361696468,0.458302220011622,0.450526645258739,0.652330745956297,0.819897709140068
"WNT16",3.12332287691378,0.485541152799791,0.527879931063651,0.91979468100151,0.357680063445587,0.599655562343895
"HECW1",25.0515669612339,0.164609256535133,0.540800087561586,0.304380972416886,0.76083766232362,0.882918849734455
"MAD1L1",7.28587272277952,-0.350535284500494,0.282319410395232,-1.24162658178466,0.214374369514798,0.446772909814579
"LASP1",4199.6523636911,-0.150744781939087,0.131546629554175,-1.1459418036781,0.251819232650405,0.489766027660889
"SNX11",742.180783440349,-0.040294501612199,0.116936064894354,-0.344585749901905,0.730405820313997,0.866040611750938
"TMEM176A",1157.58986316413,0.282849690285392,0.466385116934075,0.606472376616113,0.544201120041105,0.749338270598198
"M6PR",2309.97544216662,-0.484633033909519,0.161716703688841,-2.99680257422265,0.00272827339041691,0.0244382010365043
"KLHL13",358.400032225733,0.241870727383134,0.285904795109607,0.84598345855098,0.39756197212959,0.635601829948087
"CYP26B1",384.840854327556,-0.428918189975077,0.441130307851042,-0.972316302782602,0.330893215832664,0.573986075855227
"ICA1",136.350586822449,-0.55432374143165,0.208270365561323,-2.66155840240476,0.00777798464225145,0.0509148532788282
"DBNDD1",386.149681438692,0.827445010811003,0.309834385850767,2.6706041956542,0.00757148682962338,0.0498899929249941
"ALS2",784.451740344511,0.112770207929618,0.143805166216643,0.784187459299824,0.432930122566053,0.664845490063453
"CASP10",392.661141023824,-1.04906387163735,0.212682457083039,-4.93253597887367,8.11688223546369e-07,4.30087071816418e-05
"CFLAR",2892.37497565814,-0.203642870426254,0.0967591495910392,-2.10463683576146,0.0353229326070805,0.143151067951399
"TFPI",1591.82153097397,-0.99099107753786,0.337734113829388,-2.93423446717164,0.00334371516122214,0.0280989176266178
"NDUFAF7",661.175764973642,0.297902076252295,0.121300221430423,2.45590710997316,0.0140529476979876,0.0767399986153483
"RBM5",2038.97243347428,0.170234326716379,0.128546654604144,1.32429993795336,0.185403451132863,0.408567878277544
"MTMR7",41.51610727824,-0.328691882183666,0.189479659352953,-1.7347080066858,0.0827925374072831,0.248012784802185
"SLC7A2",936.132982461595,-1.44553292689089,0.387351704236885,-3.73183572210869,0.000190089456537329,0.00338223256676292
"ARF5",3840.78441364444,-0.0582183326733678,0.112985815116691,-0.515271165794043,0.606363545072305,0.790506393281367
"SARM1",196.711444769305,0.339119181592401,0.222173796149688,1.52636893940418,0.12691800854835,0.323094358308368
"POLDIP2",6272.5691773858,0.0967188654105358,0.105905962115551,0.913252318174576,0.361109853628433,0.60323679290537
"PLXND1",5095.63561219229,-0.406755036273522,0.271541929804425,-1.49794559008431,0.134147387433978,0.335169156701832
"AK2",3276.49052925662,-0.216333525130323,0.10651803781455,-2.03095672403356,0.0422593847789364,0.161414178490352
"CD38",77.44381907831,-1.2455681135796,0.373943007148232,-3.33090361303601,0.000865645703927901,0.0105830317316465
"FKBP4",4781.45175912359,-0.115951972372041,0.172669708800514,-0.671524688247435,0.50188633730301,0.717676797492324
"KDM1A",2162.00669693036,-0.0554389843046406,0.101198512038083,-0.547824105198086,0.583812685277959,0.776682338370616
"RBM6",2932.671192988,0.0872645894534824,0.146316947422517,0.59640794173685,0.550902736309408,0.753892898393589
"CAMKK1",1150.70348882785,-1.17048075527334,0.269379927348207,-4.34509269786962,1.39216860874645e-05,0.000450200001834621
"RECQL",488.383617092676,0.0292396090797854,0.216861142957604,0.134831019891386,0.892745479447568,0.95108532356374
"VPS50",1077.39920715121,-0.0824714027070704,0.1294395416877,-0.637142264502528,0.524032180820744,0.734067789442921
"HSPB6",7764.30013141271,0.175177207665641,0.439882882886652,0.398236017996591,0.690456218381338,0.843398196792528
"ARHGAP33",903.374340421551,0.507421939292784,0.218850075481507,2.3185824276111,0.0204176888282662,0.0990233114377556
"NDUFAB1",3393.62799240341,-0.161057456539237,0.111326582168115,-1.4467115885766,0.147977717416859,0.355491432269628
"PDK4",20155.2305960678,0.9948798644765,0.356156867882128,2.79337548758364,0.00521611055556507,0.0384009097605667
"SLC22A16",2.39782463248588,-0.64718521691608,0.462044157110568,-1.400699926525,0.161303824693149,0.374601972295597
"ZMYND10",28.645104526756,0.740201470085277,0.267074464234661,2.77151719542498,0.0055795725252485,0.0401968256492029
"ABCB5",92.5752605364537,-3.16939001567129,0.763573166829717,-4.15073519258186,3.31409021207903e-05,0.000884615675573411
"ARX",107.090204754629,-1.80518516236444,0.559643311756781,-3.22559945672856,0.00125709150293322,0.013939895482874
"SLC25A13",2172.98914672061,-0.0132831200920411,0.157781758897604,-0.0841866650799695,0.932908020273463,0.970891637267758
"ST7",1401.84181876112,-0.115701687567241,0.118389934718548,-0.977293279553724,0.328423979222445,0.571726847561096
"CDC27",1903.85406539782,-0.0429366850711708,0.0943598112283566,-0.455031485462189,0.649086587588886,0.817995367661774
"SLC4A1",24.8123371224709,2.26244100165851,0.506699474753733,4.46505495739482,8.00482015647729e-06,0.000290780198046571
"CALCR",8.19777120980797,-0.823837360450482,0.535001148579649,-1.53987961079645,0.123589701623266,0.317563664100259
"HCCS",1502.97622767106,-0.182237867123681,0.15002565603193,-1.21471134967005,0.224476202224447,0.458583065043051
"DVL2",1570.36356875204,0.311874223650016,0.153027758328199,2.03802386610891,0.041547546147746,0.159502797122066
"PRSS22",24.2028159581973,-0.443426937178183,0.489624131869604,-0.905647635227824,0.365122387120693,0.60658047149244
"UPF1",6929.6675986115,0.122392564192628,0.0916725453429728,1.33510598767301,0.181841660032636,0.403810319690211
"SKAP2",2422.20652378825,-0.587172716302142,0.242024358089808,-2.42608934462811,0.0152625123676545,0.0811942278819398
"SLC25A5",9637.62663337837,-0.593828988452816,0.173335494728028,-3.42589375237058,0.000612780032397642,0.00814630132529947
"MCUB",283.65884157777,-0.146247269587015,0.282802838894091,-0.517135083080918,0.605061864666485,0.789783954488065
"HOXA11",301.58866716175,1.23877600570781,0.437758618656326,2.82981522901858,0.00465748932700405,0.0354904463360616
"POLR2J",2695.04343691088,0.140488610898494,0.154237757596956,0.910857452074803,0.362370486496985,0.604252402518897
"DHX33",723.109240308861,0.122816761694842,0.0753263937726144,1.63046119087535,0.103004061076028,0.283934324513861
"MEOX1",6.65877680500633,0.937740581723082,0.554499804428762,1.69114682139362,0.0908087646483618,0.26271629798321
"THSD7A",451.621843596693,-0.450257315589754,0.29082349514847,-1.54821506205986,0.121570526201173,0.314340040677646
"LIG3",772.768081357494,0.152837158068666,0.111174082172606,1.37475529441633,0.169207322200247,0.385616487276753
"RPAP3",1362.91639847537,-0.21129974835445,0.109885884676582,-1.92290164452288,0.0544924032039327,0.190595040184918
"ACSM3",4066.93058148207,-2.5810375971372,0.456425870907038,-5.65488891330372,1.55947100720979e-08,1.60214334891833e-06
"REXO5",328.809319270802,-0.0158111149475381,0.209728218899324,-0.0753885911515224,0.939905536320082,0.97360542537707
"CIAPIN1",2717.56406363149,-0.227548778503196,0.1312454183895,-1.73376550050604,0.0829596992797191,0.248443654671132
"SPPL2B",2865.1184848645,0.482591572058895,0.148083976167873,3.25890474140034,0.00111843214720494,0.0128128452977214
"FAM214B",1562.425689577,0.219003525657787,0.178448405864168,1.22726524004081,0.219722915743804,0.453190038146684
"COPZ2",512.810344025509,0.427549702540628,0.357200991174848,1.19694433415316,0.231328252405727,0.466564981630614
"PRKAR2B",5862.84220477567,0.597266369050424,0.300645121259352,1.98661586972898,0.0469649812260113,0.173336966056635
"MSL3",780.583750379163,-0.270470158942807,0.0985965351865471,-2.74320145663406,0.00608433454126577,0.0426785011916537
"CREBBP",3009.33023386811,-0.0390889641027721,0.111149804131155,-0.351678209496867,0.725079604227401,0.863122660665878
"TSPOAP1",824.899156251828,0.765981528178001,0.299950536084743,2.55369281274295,0.0106587246270686,0.0632065535559519
"MPO",2.66788293703596,1.43582106612635,0.601314552702065,2.38780362070791,0.0169493958953958,0.0874737761676288
"PON1",15.9145750030053,0.655363401375943,0.476136680438889,1.3764186383873,0.168692060826078,0.384799031588065
"GCFC2",490.199976224858,-0.163863927447588,0.109744951806798,-1.49313407814936,0.135402093718342,0.337104510224403
"WDR54",868.529389824523,0.0565448900830458,0.21666272365434,0.26098116523845,0.794107032015719,0.901012563207892
"CROT",893.856001236001,-0.14497248012703,0.173445124943585,-0.835840616299732,0.403244573549886,0.640329375751325
"ABCB4",2313.35528467007,3.67833699451579,0.430257371600933,8.54915508089766,1.23992824424694e-17,1.10807245370291e-14
"KMT2E",1840.8787315454,0.145598223628524,0.110814575114092,1.31389055526874,0.188883037525928,0.413299680317143
"RHBDD2",20933.0504610804,0.205690436053137,0.184261084616889,1.11629884563419,0.264294235586071,0.503857759349862
"SOX8",329.884102802047,1.25931311711633,0.535437517930606,2.35193290523123,0.0186761433500708,0.0932940382192674
"IBTK",3319.37962851738,0.017289644937997,0.132802269445985,0.130190884614583,0.896415406224407,0.95290177477047
"ZNF195",518.967449487007,-0.0390975237344239,0.124412144492413,-0.314258096698978,0.753325021169025,0.878847293180133
"MYCBP2",1179.90797023346,-0.263215786733809,0.135061940548954,-1.94885239812177,0.0513130541676563,0.183266643607287
"FBXL3",1042.26210829753,-0.235591526870457,0.139304633111548,-1.69119663580613,0.0907992533338638,0.26271629798321
"ITGAL",293.201794464355,-0.652100042266444,0.291998302839935,-2.23323230280522,0.0255336291587598,0.11560507088728
"PDK2",1489.5592003679,-0.747351151978903,0.240895087527888,-3.10239266250036,0.00191963148347986,0.0190834304694042
"ITGA3",5079.83678823127,-0.475455128152534,0.33468916176883,-1.42058716702912,0.155436811390863,0.366521148394793
"ZFX",1044.49834853134,-0.175583626736705,0.121579626087793,-1.44418627023836,0.148686585920065,0.356443960589135
"LAMP2",8788.57147626075,-0.218835833071803,0.160807728440717,-1.36085395393467,0.17355984742311,0.391776405868017
"ITGA2B",32.2752529814871,0.248998877206277,0.313009729199125,0.795498842299158,0.426323384123194,0.658941287912985
"ASB4",5222.56837722182,1.85049476685192,0.491489003851598,3.76507867388761,0.000166496650355182,0.00305731866407955
"GDE1",2319.94847295761,0.01105174150402,0.128068219591449,0.0862957378440664,0.931231326546334,0.970075871349054
"REX1BD",1776.65742981233,0.362126270237052,0.157621081164879,2.29744820655208,0.0215932144638098,0.103066148092798
"CRLF1",195.576003202846,1.27042416474208,0.421798693919135,3.01192057504484,0.00259600511309878,0.0236108623309476
"OSBPL7",429.347613287713,0.521960400675285,0.190473937965271,2.74032450975237,0.00613785498288323,0.0429407936409245
"TMEM98",1663.06990995991,0.658362832161938,0.290190551222693,2.26872594365317,0.0232849969044414,0.108641783892203
"YBX2",45.8710250073,1.9293209982305,0.414009049545493,4.66009378381594,3.16065341364578e-06,0.000135008071148925
"MAP3K14",674.212681070514,0.3163586256589,0.183148436415653,1.72733456998195,0.0841075940341445,0.250589494310421
"ABCC8",4.8786353664567,0.761989955443526,0.507668355319748,1.50096011984753,0.133365876751369,0.333921567908705
"CACNG3",0.66676565800604,-2.36242524935629,1.22515614159373,-1.92826462615872,0.0538222193647105,0.189141413431793
"TMEM132A",7618.71190555186,0.163739889159959,0.21144967729235,0.77436812038059,0.438713130395121,0.669080512797027
"AP2B1",6772.55675050602,0.243258111501812,0.105018571367744,2.31633422863842,0.0205400268317876,0.0994807332579122
"TAC1",12.4012941660229,0.716668737955721,0.654873212622246,1.09436257911059,0.273795989215592,0.513745340112015
"ZNF263",1906.47779391844,-0.0648334595844162,0.11026350238778,-0.587986579243663,0.556541301094934,0.757843978489782
"CX3CL1",1605.46752134173,0.665773812470303,0.317812883424466,2.09486099272164,0.0361833512765284,0.145567143872622
"SPATA20",4542.0867694328,0.672802085788077,0.176831382262893,3.80476631001975,0.000141938130648547,0.00270588616488766
"CACNA1G",463.694478787447,1.00839850083446,0.446030568540886,2.26082823007685,0.0237698957619699,0.110036502389264
"TNFRSF12A",5247.4244557558,-0.172912273255846,0.228836349277319,-0.755615416003247,0.449879810374622,0.677992067415666
"DLX6",162.171229077141,0.329672177014894,0.472865220426144,0.697180005579169,0.485690150163633,0.706150232058552
"MAP3K9",409.100341887162,-0.273326555093329,0.279402044205964,-0.97825538775172,0.327948028541142,0.571209521364917
"RALA",3872.58877870314,-0.27888611764045,0.160652460098722,-1.73595920952019,0.0825710472730089,0.247651134086164
"BAIAP2L1",2853.60513758302,-0.123167598450886,0.195315349361381,-0.630608904285325,0.528296275315284,0.73766206096391
"KDM7A",420.040086922698,-0.0066122286083127,0.173235580064674,-0.0381689985731809,0.969552938430801,0.986434563292685
"ETV1",1645.29280285029,1.05317104172652,0.238885370286704,4.40868790107378,1.03998767688112e-05,0.000358861118756456
"AGK",1465.59777328322,-0.0923856401710041,0.117402584932872,-0.786913169108054,0.431332697889982,0.663689430786556
"ALDH3B1",1576.71953296707,-1.22289110945846,0.367551060285697,-3.32713258535538,0.000877446142603241,0.0106801073151681
"TTC22",23.8420410728476,-1.76791459913007,0.534082157536089,-3.31019221328435,0.000932319242757115,0.0111776856005
