"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"UGCG","17088100","UGCG",6.02449796991108e-16,12.2523014626409,2.56216654781988,7.91716064938636,0.214882715237346,44,1.57624964884754e-11
"ZNF711","17105163","ZNF711",1.39218862884878e-14,11.1757293356262,3.05071315906211,4.86520321179545,0.280502864467176,44,1.49692512105297e-10
"SHOC1","17097240","SHOC1",1.71639480322539e-14,11.1057360831676,2.81250290283437,5.15343114384091,0.260230041503245,44,1.49692512105297e-10
"LEF1","16978834","LEF1",2.08378602560403e-13,10.2867256294515,2.80612020816977,5.69007406940909,0.280311499923618,44,1.3630044393476e-09
"PDE2A","16741725","PDE2A",4.36679666287941e-13,10.0492583637807,2.27818189882402,5.53254869127273,0.232951861501173,44,2.28505735775154e-09
"SYTL2","16742963","SYTL2",1.15904052337122e-12,9.73933772027689,2.40772361621739,5.71153913138636,0.254032339136808,44,5.05418937558077e-09
"RNF39","17033915","RNF39",3.38624131297634e-12,-9.40314459460822,-1.15661147081573,5.34706356563636,0.126393919332566,44,1.26568025303876e-08
"","17097277",NA,NA,NA,NA,NA,NA,NA,NA
"SGPP2","16891555","SGPP2",1.97869639722286e-11,-8.85836412026211,-2.74763807676812,5.60359618902273,0.318726224762571,44,6.47132656711735e-08
"ABCB4","17059451","ABCB4",2.68777075902431e-11,8.76487037272544,2.18211320065424,5.81534054963636,0.25582535140622,44,7.8136482376791e-08
"ETV5","16962380","ETV5",3.22692217004083e-11,8.70919847434122,1.33620397102899,6.18940153925,0.157654499657725,44,8.44291916569483e-08
"ASTN1","16696689","ASTN1",3.57010508048499e-11,8.67846401008247,1.86435115957557,6.04704234243182,0.220747935556545,44,8.4916572114372e-08
"NR4A3","17087517","NR4A3",4.8439971471433e-11,8.5858489897596,2.12620883463147,4.92500620561364,0.254468759650745,44,1.03155893917921e-07
"FSCN1","17043294","FSCN1",5.12546484074675e-11,8.5687356288721,1.58092961411594,7.74917723222727,0.189586579578435,44,1.03155893917921e-07
"FKBP10","16834196","FKBP10",9.96603506720038e-11,8.36791980408996,1.154697153147,6.7402732815,0.141795479640974,44,1.86250958213022e-07
"PRKD3","16896502","PRKD3",1.09611215594044e-10,8.33927535165336,1.90640454496687,6.98633372888636,0.234908402329409,44,1.89248274817997e-07
"SLF2","16708312","SLF2",1.15730484524077e-10,8.32293556494853,0.959484821935818,6.30655670243182,0.118460449690253,44,1.89248274817997e-07
"ABR","16839294","ABR",1.40141162769319e-10,8.26543043114615,1.40404443457557,7.28166346845455,0.174552943932194,44,2.15685493099792e-07
"DAB2","16995645","DAB2",2.93647935046582e-10,8.04401444088745,1.54251134496273,7.58020351293182,0.19704586498656,44,4.26833587364376e-07
"GBP2","16689354","GBP2",5.70078542250711e-10,-7.84651541816103,-2.09976290037888,6.63362036656818,0.274982607604869,44,7.85028156813031e-07
"CYP3A5","17060287","CYP3A5",6.46839915702333e-10,-7.80901318769061,-2.57360906641615,6.79209318993182,0.338655569130314,44,8.46195977721792e-07
"PRLR","16995177","PRLR",7.35950058409706e-10,-7.77073119822762,-3.33245800461284,6.36146622181818,0.440671129986303,44,9.1692368229674e-07
"DACH1","16779701","DACH1",8.35903204959117e-10,7.73298952449196,2.88232480808903,5.53800784252273,0.383007517474668,44,9.94116884297743e-07
"CCN3","17072135","CCN3",9.92253125540855e-10,7.68222327934862,3.26138962294824,6.886243315,0.436242084432619,44,1.12875264246308e-06
"MERTK","16884372","MERTK",1.47280143274946e-09,7.56549741723141,1.58461733016977,8.28976344336364,0.215227972349211,44,1.60559902860237e-06
"ERN1","16847771","ERN1",2.63086520281012e-09,7.39451617588059,1.36019522793996,6.34303421506818,0.189018052337367,44,2.75335828665295e-06
"BMP4","16793129","BMP4",3.14384775972403e-09,7.34212135509919,1.45098229433333,5.04200442815909,0.203073079521149,44,3.16367818405459e-06
"ZNF462","17087900","ZNF462",3.58445283650093e-09,7.30357294293805,0.939234087401657,7.82221744934091,0.132144860006557,44,3.47346755608186e-06
"FARP1","16775968","FARP1",6.15977086489064e-09,7.14468346870584,1.49904744164183,7.54515005747727,0.215597730481942,44,5.7558658896071e-06
"GPRC5A","16748529","GPRC5A",6.60714289331637e-09,-7.12413473637223,-1.77250475254658,4.94877894609091,0.255662531037444,44,5.96100988485274e-06
"FAM171A1","16712076","FAM171A1",8.24755572306266e-09,7.05917440548305,1.49845135646584,6.36030582702273,0.218122535672623,44,7.19296826460705e-06
"ISM1","16911517","ISM1",9.06768736234912e-09,7.03142098231651,2.68836935807246,5.29861284229545,0.392877933134696,44,7.65312813382266e-06
"SLC23A2","16916920","SLC23A2",1.08253876451898e-08,6.97957500772032,1.10671251870807,8.30878948145454,0.162936222703513,44,8.60492770146342e-06
"GLI3","17056992","GLI3",1.08926492641472e-08,6.97776300845266,1.20021297550932,5.34351154952273,0.176747753634091,44,8.60492770146342e-06
