"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"LEF1","221558_s_at","LEF1",1.96009003759141e-10,8.90978558123196,0.907153711569854,3.27080931630303,0.105549356117089,33,4.09364804350965e-06
"WNT4","208606_s_at","WNT4",9.34971295710087e-09,7.52850059950282,1.05502443261029,2.58034806960606,0.14527670700849,33,7.71685958222673e-05
"PCP4","205549_at","PCP4",1.10847875253436e-08,7.46942071406349,1.34708958949265,3.20124371169697,0.186961213096492,33,7.71685958222673e-05
"MERTK","211913_s_at","MERTK",2.94888444927329e-08,7.13220920131425,0.634227694930146,3.08600371318182,0.0921856003424513,33,0.000153968629307681
"SV2C","216086_at","SV2C",4.78016631320108e-08,6.96710408629717,0.704566351091912,2.62422062972727,0.104836269482517,33,0.000199667546902409
"DAGLB","226640_at","DAGLB",1.07998612096515e-07,-6.69032736805028,-0.231800421996324,2.92374621833333,0.0359177242916979,33,0.000375925168939286
"CDH2","203440_at","CDH2",1.48607537518337e-07,6.58249128356438,1.0974179360625,3.05707243645455,0.172831826821887,33,0.000412763186387645
"CCN3","214321_at","CCN3",1.70035377496645e-07,6.53706938642959,1.07632276375,3.56662875578788,0.170687371268499,33,0.000412763186387645
"UGCG","224967_at","UGCG",1.77872572539564e-07,6.52188497603418,0.528167372661764,3.9828952510303,0.0839538067736077,33,0.000412763186387645
"ERN1","227755_at","ERN1",3.13007980013952e-07,6.33186530817373,0.490192877580882,3.53115560872727,0.0802559588762631,33,0.000607095333166128
"ZNF711","207781_s_at","ZNF711",3.19753347609644e-07,6.32471109161701,0.732432778544118,2.75123642336364,0.120051900374002,33,0.000607095333166128
"ASTN1","213197_at","ASTN1",5.19585620123368e-07,6.16206062544976,0.736040971588235,3.00142319072727,0.123827750168417,33,0.00087342358169165
"SLC23A2","209236_at","SLC23A2",6.48479391737868e-07,6.08796262427685,0.380711287794119,3.51760870624242,0.0648284644902365,33,0.00087342358169165
"APCDD1","225016_at","APCDD1",6.53998026919716e-07,6.08513065636879,0.74561967525,2.93772136918182,0.127025060707087,33,0.00087342358169165
"DOC2B","236045_x_at","DOC2B",6.6367542443264e-07,6.08022203895225,0.721412616198529,2.83069355690909,0.123000323310633,33,0.00087342358169165
"ABR","212895_s_at","ABR",6.69129868664899e-07,6.07748699957801,0.473348106044117,3.23827688427273,0.0807418255396155,33,0.00087342358169165
"NFATC4","213345_at","NFATC4",8.33565760952539e-07,6.00409913458691,0.49405604136397,2.84639431809091,0.0853041812723295,33,0.00102406005397022
"PDE2A","204134_at","PDE2A",9.62161984697792e-07,5.95621842110576,0.8834470894375,3.42881223824242,0.153763015674187,33,0.001096760839611
"SYTL2","225496_s_at","SYTL2",9.97771412621934e-07,5.9440942531381,0.720093689194853,3.14332169772727,0.125587170769288,33,0.001096760839611
"PLCL2","213309_at","PLCL2",1.11301748474931e-06,5.90763717190655,0.548812031786765,3.21512218533333,0.0963056504128568,33,0.00116226850844947
"DACH1","228915_at","DACH1",1.30071624146006e-06,5.85568184763618,0.704028051216912,2.66319162560606,0.124639141833089,33,0.00129359327156635
"PRKD3","218236_s_at","PRKD3",1.46644263320666e-06,5.81571650358532,0.517641174367647,3.4253523760303,0.092271492406953,33,0.00139212065429641
"WBP1L","202808_at","WBP1L",1.53507162010784e-06,5.80047755967839,0.25492715913603,3.6685318149697,0.0455611119174714,33,0.00139391177330227
"BMP4","211518_s_at","BMP4",1.7752914315321e-06,5.75204769968773,0.672939051930147,3.08990746039394,0.121281682257598,33,0.00148641523530577
"NTM","227566_at","NTM",1.77928565394513e-06,5.75129919888426,0.56890953625,2.53114687333333,0.102546114943071,33,0.00148641523530577
"SEMA3G","219689_at","SEMA3G",2.12145326298887e-06,-5.69272755268709,-0.236293173772059,2.26811961763636,0.0430301376381909,33,0.00170409813067394
"NETO2","218888_s_at","NETO2",2.30791779547328e-06,5.66467959428828,0.4713318191875,3.62879763360606,0.0862568051618354,33,0.00178521715401702
"CSDC2","209981_at","CSDC2",2.97992193433156e-06,-5.57961221865753,-0.907003954577206,2.58554916136364,0.168518320861803,33,0.00222270248566124
"FAM169A","235048_at","FAM169A",3.27101834186872e-06,5.54858968934982,0.658234509183823,3.16988537260606,0.122981559492105,33,0.00235569717482511
"SLC17A5","221041_s_at","SLC17A5",3.61519771630914e-06,-5.51529049429408,-0.42688781367647,3.07291389548485,0.0802393356787692,33,0.00251678014350388
"CACNB2","213714_at","CACNB2",3.74302599646656e-06,5.50372485488584,0.696596741238971,2.75615674863636,0.131209923810595,33,0.00252171283665175
"KCNK3","235108_at","KCNK3",4.25755505806311e-06,5.46085263733756,0.568748978930146,3.51850431942424,0.107969759005258,33,0.002778719918364
"ETV5","203348_s_at","ETV5",4.58470613976836e-06,5.43620914317422,0.402232700547794,3.20169178681818,0.0767049122215989,33,0.00290156326451703
"TAFA4","242348_at","TAFA4",4.88102041250729e-06,5.41535993964074,0.862108308794118,3.111636933,0.165035153695717,33,0.00299823856809455
"GBP2","202748_at","GBP2",5.75433877215594e-06,-5.36055555947582,-0.548644928470587,2.97988737081818,0.106101989312224,33,0.00343369615018505
"ISM1","235182_at","ISM1",7.31124603881641e-06,5.28079552631813,0.911318155908089,2.60756078136364,0.178900943095295,33,0.00424153815335224
"CCDC170","220581_at","CCDC170",7.85116058304816e-06,5.25705496823148,0.389022526856619,2.43905806557576,0.0767139228674911,33,0.00436792459662071
"ACTR3C","223874_at","ACTR3C",7.95339313780705e-06,-5.25274359110429,-0.487675861202205,2.49349853863636,0.096246959148665,33,0.00436792459662071
"SLC29A1","201802_at","SLC29A1",8.46902840043201e-06,-5.23180721392734,-0.400458108639707,3.01731111745455,0.0793500708122848,33,0.00436792459662071
"PALS2","205429_s_at","PALS2",8.63573537997547e-06,-5.22530949887543,-0.502900430727941,2.42805308751515,0.0997727511344864,33,0.00436792459662071
"EP400","212376_s_at","EP400",8.74337930815384e-06,5.22117996999997,0.305914022904412,2.8644331630303,0.0607397053928579,33,0.00436792459662071
"PDK4","225207_at","PDK4",8.78395178635719e-06,5.21963662877341,0.457638776746323,3.85879459654545,0.0908917583376683,33,0.00436792459662071
"PXYLP1","226925_at","PXYLP1",9.39808779540901e-06,5.1971052983634,0.581179331422796,3.1584724809697,0.115928603430042,33,0.00450301582561557
"TRMT2B","205238_at","TRMT2B",9.60143442926694e-06,-5.18996724770312,-0.312615225823528,2.81069226875758,0.0624435331847539,33,0.00450301582561557
"STX3","209238_at","STX3",9.90143100489514e-06,-5.17970687508336,-0.370368206794117,3.22951694060606,0.0741259845429358,33,0.00450301582561557
"ABCB4","207819_s_at","ABCB4",9.91806214883008e-06,5.17914715941928,0.947235142999999,3.01565402712121,0.189601387100649,33,0.00450301582561557
"","230102_at",NA,NA,NA,NA,NA,NA,NA,NA
"SMAGP","209679_s_at","SMAGP",1.13087197203409e-05,5.13537356568122,0.428388298694854,3.14584803933333,0.0864783744702704,33,0.0050251619438153
"RELN","205923_at","RELN",1.16338401444694e-05,5.12591486290417,0.880601876768381,2.73698073,0.178094364526239,33,0.00506193232119255
"TXNRD1","201266_at","TXNRD1",1.33343943534505e-05,-5.08036982199551,-0.250278871356619,3.99254522327273,0.0510705834458542,33,0.00568344543003702
"EMB|EMBP1","226789_at","EMB|EMBP1",1.42417891862965e-05,-5.05838103117546,-0.769022260863971,2.97277770681818,0.157604760168366,33,0.00594879534311606
"CSGALNACT1","1569387_at","CSGALNACT1",1.54811175215729e-05,-5.0305004283097,-0.300926233639705,2.25681865366667,0.0620141532881458,33,0.00631002346928156
"SEMA6D","233801_s_at","SEMA6D",1.57108556572967e-05,5.02557695253233,0.252765152856617,2.19841453390909,0.052140264754659,33,0.00631002346928156
"DZIP1","204556_s_at","DZIP1",1.60726989381243e-05,5.01796568157023,0.472312821375001,2.68216661118182,0.0975762239167231,33,0.00633355315703258
"PRLR","206346_at","PRLR",1.7215719047281e-05,-4.99499527520773,-0.527349628033088,2.46082302266667,0.109447418234547,33,0.0066583387463419
"VSTM4","244057_s_at","VSTM4",1.81856973500835e-05,4.97666155281851,0.443498156305147,2.64862239,0.0923837679107102,33,0.00690560525739079
"ZNF609","212618_at","ZNF609",1.90175195030222e-05,4.96169713471992,0.181865611841912,2.65452787118182,0.0379981362838649,33,0.00696935062990086
"CGNL1","225817_at","CGNL1",1.90209713145487e-05,4.96163640176169,0.7108121958125,3.08383108784848,0.14851553862043,33,0.00696935062990086
"AXIN2","222696_at","AXIN2",2.04335977726913e-05,4.93765800916722,0.437251253088236,2.8808817490303,0.0918019730338973,33,0.00735785671521825
"SEPTIN8","208999_at","SEPTIN8",2.11495249168263e-05,4.92612730590933,0.235220635588235,3.23565141181818,0.0495007463612109,33,0.00748657335403248
"KCNJ5","238780_s_at","KCNJ5",2.3723039510063e-05,4.88765793497141,0.728578258499999,2.68280539427273,0.154531621786439,33,0.00825759466946109
"FGFR2","208234_x_at","FGFR2",2.61105057845928e-05,4.85550770074064,0.2312764051875,1.86895587736364,0.0493785849620518,33,0.00891104075058532
"PIK3IP1","221756_at","PIK3IP1",2.69443910995925e-05,-4.84496211806659,-0.489481233783088,3.04424864909091,0.104733982890874,33,0.00891104075058532
"RNPC3","226975_at","RNPC3",2.7239347467838e-05,-4.84130935530529,-0.34125896907353,3.03486140927273,0.0730740535412962,33,0.00891104075058532
"SLC12A6","223596_at","SLC12A6",2.73069958361245e-05,-4.84047712413734,-0.169306770819853,2.38894138642424,0.0362600262080921,33,0.00891104075058532
"VSNL1","203797_at","VSNL1",2.90670843462828e-05,4.81951355977614,0.794482299514706,2.83263594960606,0.170892490314829,33,0.00930500474085975
"FAM171A1","212771_at","FAM171A1",2.94053298011369e-05,4.81562946490446,0.505923667511028,3.47653323218182,0.108911538406006,33,0.00930500474085975
"FGD4","227948_at","FGD4",3.05412599823383e-05,-4.80290219077362,-0.34458568883456,2.99092061348485,0.0743764513138252,33,0.00945898116545224
"CTHRC1","225681_at","CTHRC1",3.07977361384129e-05,4.80009354947701,0.603087403165443,3.21736239769697,0.130248435391085,33,0.00945898116545224
"USP2","207213_s_at","USP2",3.32534991100624e-05,-4.77431732862377,-0.517595987408088,2.14933385778788,0.112388423338588,33,0.0100550817131089
