"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",1696.69805911873,-0.166423553308563,0.147716157844826,-1.12664420559455,0.259892941045911,0.446762083591716
"TNMD",4.93238854651635,-0.372940078767824,0.372203590817398,-1.00197872338848,0.316353868997598,0.508503893842859
"DPM1",1842.69114780883,0.0601790066068122,0.118950102679566,0.505918071957662,0.612914165063881,0.76418881798691
"SCYL3",321.148996002784,-0.14043383049473,0.117091523854267,-1.19935095105189,0.230391511125086,0.413790487930425
"C1orf112",129.774625534768,0.0924937684920433,0.185977948159798,0.497337288679892,0.61895122052744,0.768383796111037
"FGR",202.845049662398,-0.96130150762591,0.248971502485199,-3.8610905185145,0.000112882070566904,0.00119828100037999
"CFH",880.35822846166,-1.03418747056512,0.305261298228888,-3.387876145995,0.000704360628588996,0.00531821327039583
"FUCA2",3230.21783311431,0.0513810757331783,0.153583008975906,0.334549219186343,0.737965156680765,0.849856975265183
"GCLC",1400.06179051176,-0.144584020418631,0.157836794147998,-0.916034953694383,0.35964856216084,0.550026917887252
"NFYA",874.248161764368,0.289383797601159,0.138462809775743,2.08997490423494,0.0366200541035874,0.112980410366405
"STPG1",331.209984439372,-0.636905239757139,0.183513533418834,-3.47061727760168,0.000519263531596658,0.00416092737502672
"NIPAL3",970.820404832672,-0.115893068193684,0.11998952352789,-0.965859891649178,0.334114294466342,0.526573205274117
"LAS1L",2129.86482958935,-0.32469592598678,0.115325728280957,-2.81546824656294,0.00487062099372214,0.0245543087122314
"ENPP4",897.102794892666,-1.10943041387351,0.297789086655697,-3.72555766342181,0.000194883894122593,0.00186941027986592
"SEMA3F",1163.25386022695,-0.327266929920951,0.165171617967829,-1.98137509305439,0.047549224790976,0.136144156835476
"CFTR",4.32213833451231,-0.201188514402462,0.528703640840289,-0.38053173623451,0.703550743112818,0.827130873285309
"ANKIB1",2517.3272615803,0.0292263915873921,0.11876173808353,0.246092656263047,0.80561050775721,0.891946094077412
"CYP51A1",194.64170433767,0.994548692587987,0.378031815194204,2.63085976527416,0.00851691716112831,0.0375610110824168
"KRIT1",317.632641226959,-0.0978938992741489,0.105502641705297,-0.927881024511198,0.353469288466085,0.544523495953879
"RAD52",398.844409780349,-0.241430142981094,0.136305339992576,-1.77124493430884,0.0765199800158847,0.192600514973906
"MYH16",5.06696963194972,0.145655631530539,0.322615909506577,0.451483101851088,0.651641401332874,0.79140408292795
"BAD",463.359188268237,0.119019627351456,0.129113277607817,0.92182329777871,0.356620752978125,0.547076391388296
"LAP3",3008.57419353324,-0.256440161871583,0.186062437544971,-1.37824788955375,0.168126766076473,0.335866190264325
"CD99",7917.32906475926,-0.0423792035131852,0.20569870324456,-0.206025623130933,0.836770896274968,0.910885758771687
"HS3ST1",312.993123850018,1.28915662967843,0.286243724244021,4.50370268582529,6.67796162760861e-06,0.000115143294416381
"AOC1",18.5416059893128,-0.541388639370378,0.455102560123813,-1.18959699814277,0.234204826281271,0.41842388949672
"WNT16",2.56220295644508,0.393621178029353,0.490009060596574,0.803293672876434,0.421805014108109,0.608727891330685
"HECW1",25.0515669612339,0.134082594636484,0.540683220616097,0.247987341800064,0.804144200738626,0.891149612024946
"MAD1L1",7.28587272277952,-0.640812087226276,0.276483621003409,-2.31772169686093,0.0204644510677445,0.0733417079271462
"LASP1",4199.6523636911,-0.234716243167047,0.130005193001581,-1.80543744251964,0.0710062564577565,0.182329812210339
"SNX11",742.180783440349,-0.0131069489989198,0.117024830127079,-0.112001435803725,0.910822268128688,0.953226898598663
"TMEM176A",1157.58986316413,0.0047606021547224,0.46696335603941,0.0101948088498846,0.991865860321036,0.995491321887851
"M6PR",2309.97544216662,-0.525814216734398,0.16015855743346,-3.28308536965221,0.00102677566392095,0.00716937023229399
