id	data_format	cases	access	file_name	submitter_id	data_category	type	platform	file_size	created_datetime	md5sum	updated_datetime	file_id	data_type	state	experimental_strategy	version	data_release	project	analysis_id	analysis_state	analysis_submitter_id	analysis_workflow_link	analysis_workflow_type	analysis_workflow_version	sample_type	is_ffpe	cases.submitter_id	sample.submitter_id
4a8d3173-efac-42a5-baa5-3123490c9d54	TSV	CPT0092690006	open	59497987-f5c1-4fdb-af16-af4139cee8e5.rna_seq.augmented_star_gene_counts.tsv	60a654ce-4c6b-4423-9e9d-7910b9ba2d7a	Transcriptome Profiling	gene_expression	Illumina	4240762	2022-04-04T19:01:47.789720-05:00	3b0dce9f827a203ff117bb9cda6e5e1e	2024-07-29T19:10:53.632124-05:00	4a8d3173-efac-42a5-baa5-3123490c9d54	Gene Expression Quantification	released	RNA-Seq	1	37.0 - 43.0	CPTAC-3	43e00ccf-4860-423e-8780-b9b5d3452f94	released	59497987-f5c1-4fdb-af16-af4139cee8e5_star_-_counts	quay.io/ncigdc	STAR - Counts	122a0dd1445b2664b1b40b7df7b0e2240183d712	Primary Tumor	NA	C3L-01913	C3L-01913-01
d97c16b9-c6a0-4080-9a9e-09e60540fac7	TSV	CPT0100080001	open	d910e020-1db4-436f-b40d-33b6b4334678.rna_seq.augmented_star_gene_counts.tsv	dabd5198-f7ef-4d68-a257-6d2f2f03f771	Transcriptome Profiling	gene_expression	Illumina	4236939	2022-04-21T08:52:32.206457-05:00	284f534679b027b7f5ed427d593a5579	2024-07-29T19:46:31.099224-05:00	d97c16b9-c6a0-4080-9a9e-09e60540fac7	Gene Expression Quantification	released	RNA-Seq	1	37.0 - 43.0	CPTAC-3	a03b52f3-601d-4cb4-b488-adb332d07adb	released	d910e020-1db4-436f-b40d-33b6b4334678_star_-_counts	quay.io/ncigdc	STAR - Counts	61fd5ef8ab410a784da2e89eca063ca3c66998ec	Primary Tumor	NA	C3L-01739	C3L-01739-11
16b87965-0d4f-44b0-83c7-848022c40c07	TSV	CPT0095230006	open	e76d3772-16f4-4054-8196-c2ca3592ff51.rna_seq.augmented_star_gene_counts.tsv	a77b4c13-db60-4410-bb3b-d4f84421b7aa	Transcriptome Profiling	gene_expression	Illumina	4223256	2022-04-04T18:51:21.999518-05:00	538c4daae37834ff3d1a2e5727b22c53	2024-07-29T18:54:17.513129-05:00	16b87965-0d4f-44b0-83c7-848022c40c07	Gene Expression Quantification	released	RNA-Seq	1	37.0 - 43.0	CPTAC-3	ffd6b875-67ab-4e75-ba5f-ce3a023a47b0	released	e76d3772-16f4-4054-8196-c2ca3592ff51_star_-_counts	quay.io/ncigdc	STAR - Counts	122a0dd1445b2664b1b40b7df7b0e2240183d712	Primary Tumor	NA	C3N-01172	C3N-01172-01
dd044ce1-06ee-44ab-b6ed-7010a0f54e15	TSV	CPT0352800001	open	125cd4b1-9156-4e9f-b652-f9db43fec456.rna_seq.augmented_star_gene_counts.tsv	ad112016-9d00-4391-912a-aff8a25f624e	Transcriptome Profiling	gene_expression	Illumina	4228344	2022-04-21T09:03:45.133444-05:00	5c3d038beece443f9458e93a1b178409	2024-07-29T19:47:04.155296-05:00	dd044ce1-06ee-44ab-b6ed-7010a0f54e15	Gene Expression Quantification	released	RNA-Seq	1	37.0 - 43.0	CPTAC-3	5bbe0e19-352f-4f73-b5a8-e1725ab214d9	released	125cd4b1-9156-4e9f-b652-f9db43fec456_star_-_counts	quay.io/ncigdc	STAR - Counts	61fd5ef8ab410a784da2e89eca063ca3c66998ec	Primary Tumor	NA	C3N-02298	C3N-02298-12
2a960ac2-85dd-4125-befa-01e0be2a9d20	TSV	CPT0129110001	open	de426051-5111-4a79-bf5a-0babb3711e84.rna_seq.augmented_star_gene_counts.tsv	6d39a0d4-321d-4b59-99fd-7de87b2870da	Transcriptome Profiling	gene_expression	Illumina	4245633	2022-04-21T09:02:22.913973-05:00	d264d64a3a36246d4a23f1bf19c379df	2024-07-29T18:57:23.962550-05:00	2a960ac2-85dd-4125-befa-01e0be2a9d20	Gene Expression Quantification	released	RNA-Seq	1	37.0 - 43.0	CPTAC-3	79b4fdc7-7f9a-4f1d-af8a-29c62f09bceb	released	de426051-5111-4a79-bf5a-0babb3711e84_star_-_counts	quay.io/ncigdc	STAR - Counts	61fd5ef8ab410a784da2e89eca063ca3c66998ec	Primary Tumor	NA	C3N-02249	C3N-02249-14
75922ea2-93f8-4323-95ce-9ff87b41e9a5	TSV	CPT0159220014	open	95cb59b1-efd8-4bbb-a848-e8664f66213a.rna_seq.augmented_star_gene_counts.tsv	aec1ea0c-5658-48f8-8249-b19ed8b2599c	Transcriptome Profiling	gene_expression	Illumina	4234735	2022-04-04T19:12:20.556404-05:00	7b3c91196411785ddc146c13589f6c80	2024-07-29T19:19:18.440822-05:00	75922ea2-93f8-4323-95ce-9ff87b41e9a5	Gene Expression Quantification	released	RNA-Seq	1	37.0 - 43.0	CPTAC-3	8624eb04-507c-43e1-bf4d-45dbcc9a1869	released	95cb59b1-efd8-4bbb-a848-e8664f66213a_star_-_counts	quay.io/ncigdc	STAR - Counts	122a0dd1445b2664b1b40b7df7b0e2240183d712	Primary Tumor	NA	C3N-02972	C3N-02972-01
1d7ecd6f-d753-49cc-976a-fd1106a825e4	TSV	CPT0247910009	open	2a3af529-1cb9-4b16-a9c6-9ceb1dda1b3e.rna_seq.augmented_star_gene_counts.tsv	6df231cc-15ce-4579-9e2c-7883c584c744	Transcriptome Profiling	gene_expression	Illumina	4230088	2022-04-21T08:13:48.845718-05:00	08b403dc610f804933c57862a596aef6	2024-07-29T18:54:55.290994-05:00	1d7ecd6f-d753-49cc-976a-fd1106a825e4	Gene Expression Quantification	released	RNA-Seq	1	37.0 - 43.0	CPTAC-3	70640644-a375-436e-8897-13d1687968d4	released	2a3af529-1cb9-4b16-a9c6-9ceb1dda1b3e_star_-_counts	quay.io/ncigdc	STAR - Counts	122a0dd1445b2664b1b40b7df7b0e2240183d712	Primary Tumor	NA	C3N-03415	C3N-03415-01
58ca7c12-6bfc-4ea4-a2b9-68c46e9b49f8	TSV	CPT0129000001	open	05519ec4-5fca-4ee4-ab6f-2de5d78bd618.rna_seq.augmented_star_gene_counts.tsv	0ce7f074-e021-46b0-9c91-2c01157d6cc7	Transcriptome Profiling	gene_expression	Illumina	4263824	2022-04-21T08:51:37.637679-05:00	dd615eac911b583515146337ac68b546	2024-07-29T19:13:39.447968-05:00	58ca7c12-6bfc-4ea4-a2b9-68c46e9b49f8	Gene Expression Quantification	released	RNA-Seq	1	37.0 - 43.0	CPTAC-3	396ebcae-53a5-4f92-84a3-fcb3fecad6d3	released	05519ec4-5fca-4ee4-ab6f-2de5d78bd618_star_-_counts	quay.io/ncigdc	STAR - Counts	61fd5ef8ab410a784da2e89eca063ca3c66998ec	Primary Tumor	NA	C3N-02244	C3N-02244-12
c6200c1a-383f-455f-bccd-16da70eb78bf	TSV	CPT0116630009	open	3e9734fb-4977-4a0e-b44c-9d71e61f2a65.rna_seq.augmented_star_gene_counts.tsv	b894679e-79d8-439f-b207-b141f17adea3	Transcriptome Profiling	gene_expression	Illumina	4242961	2022-01-06T09:25:11.091231-06:00	2f5c154b0d7dc88989a431942d68d576	2024-07-30T21:51:34.855938-05:00	c6200c1a-383f-455f-bccd-16da70eb78bf	Gene Expression Quantification	released	RNA-Seq	2	32.0 - 43.0	CPTAC-3	b92501dc-4c7e-4f42-aa22-ad1898989488	released	3e9734fb-4977-4a0e-b44c-9d71e61f2a65_star_-_counts	quay.io/ncigdc	STAR - Counts	122a0dd1445b2664b1b40b7df7b0e2240183d712	Primary Tumor	NA	C3N-01349	C3N-01349-02
e2efadae-24fe-404e-b558-50397f143b8a	TSV	CPT0352110001	open	5c8730c9-3360-4757-9cb1-c93a5c003c57.rna_seq.augmented_star_gene_counts.tsv	b1956ff9-eb36-4264-a3d1-4b2eb9987db5	Transcriptome Profiling	gene_expression	Illumina	4265504	2022-04-21T08:50:24.853110-05:00	75812c98976e890c6efe3082bb192bda	2024-07-29T19:47:24.408645-05:00	e2efadae-24fe-404e-b558-50397f143b8a	Gene Expression Quantification	released	RNA-Seq	1	37.0 - 43.0	CPTAC-3	a6ab0a74-412a-4e84-a1db-e43a9798124b	released	5c8730c9-3360-4757-9cb1-c93a5c003c57_star_-_counts	quay.io/ncigdc	STAR - Counts	61fd5ef8ab410a784da2e89eca063ca3c66998ec	Primary Tumor	NA	C3N-01877	C3N-01877-14
