#STANDARD_NAME	KEGG_WNT_SIGNALING_PATHWAY
#SYSTEMATIC_NAME	M19428
#COLLECTION	C2:CP:KEGG_LEGACY
#MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_WNT_SIGNALING_PATHWAY
#NAMESPACE	Human_NCBI_Gene_ID
#DESCRIPTION_BRIEF	Wnt signaling pathway
#DESCRIPTION_FULL	Wnt proteins are secreted morphogens that are required for basic developmental processes, such as cell-fate specification, progenitor-cell proliferation and the control of asymmetric cell division, in many different species and organs. There are at least three different Wnt pathways: the canonical pathway, the planar cell polarity (PCP) pathway and the Wnt/Ca2+ pathway. In the canonical Wnt pathway, the major effect of Wnt ligand binding to its receptor is the stabilization of cytoplasmic beta-catenin through inhibition of the bea-catenin degradation complex. Beta-catenin is then free to enter the nucleus and activate Wnt-regulated genes through its interaction with TCF (T-cell factor) family transcription factors and concomitant recruitment of coactivators. Planar cell polarity (PCP) signaling leads to the activation of the small GTPases RHOA (RAS homologue gene-family member A) and RAC1, which activate the stress kinase JNK (Jun N-terminal kinase) and ROCK (RHO-associated coiled-coil-containing protein kinase 1) and leads to remodelling of the cytoskeleton and changes in cell adhesion and motility. WNT-Ca2+ signalling is mediated through G proteins and phospholipases and leads to transient increases in cytoplasmic free calcium that subsequently activate the kinase PKC (protein kinase C) and CAMKII (calcium calmodulin mediated kinase II) and the phosphatase calcineurin.
#PMID	
#GEOID	
#AUTHORS	
#CONTRIBUTOR	KEGG
#CONTRIBUTOR_ORG	Kyoto Encyclopedia of Genes and Genomes
#EXACT_SOURCE	hsa04310
#FILTERED_BY_SIMILARITY	
#EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
#EXTERNAL_DETAILS_URL	http://www.genome.jp/pathway/hsa04310
Ensembl_gene_ID	NCBI_gene_ID	Gene_symbol	Description
10023	10023	FRAT1	FRAT regulator of WNT signaling pathway 1 ...
10297	10297	APC2	APC regulator of WNT signaling pathway 2 [...
10725	10725	NFAT5	nuclear factor of activated T cells 5 [Sou...
11197	11197	WIF1	WNT inhibitory factor 1 [Source:HGNC Symbo...
11211	11211	FZD10	frizzled class receptor 10 [Source:HGNC Sy...
11261	11261	CHP1	calcineurin like EF-hand protein 1 [Source...
122011	122011	CSNK1A1L	casein kinase 1 alpha 1 like [Source:HGNC ...
1387	1387	CREBBP	CREB binding protein [Source:HGNC Symbol;A...
144165	144165	PRICKLE1	prickle planar cell polarity protein 1 [So...
1452	1452	CSNK1A1	casein kinase 1 alpha 1 [Source:HGNC Symbo...
1454	1454	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbo...
1457	1457	CSNK2A1	casein kinase 2 alpha 1 [Source:HGNC Symbo...
1459	1459	CSNK2A2	casein kinase 2 alpha 2 [Source:HGNC Symbo...
1460	1460	CSNK2B	casein kinase 2 beta [Source:HGNC Symbol;A...
1487	1487	CTBP1	C-terminal binding protein 1 [Source:HGNC ...
1488	1488	CTBP2	C-terminal binding protein 2 [Source:HGNC ...
1499	1499	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGN...
166336	166336	PRICKLE2	prickle planar cell polarity protein 2 [So...
1855	1855	DVL1	dishevelled segment polarity protein 1 [So...
1856	1856	DVL2	dishevelled segment polarity protein 2 [So...
1857	1857	DVL3	dishevelled segment polarity protein 3 [So...
2033	2033	EP300	E1A binding protein p300 [Source:HGNC Symb...
22943	22943	DKK1	dickkopf WNT signaling pathway inhibitor 1...
23002	23002	DAAM1	dishevelled associated activator of morpho...
23236	23236	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol...
23291	23291	FBXW11	F-box and WD repeat domain containing 11 [...
23401	23401	FRAT2	FRAT regulator of WNT signaling pathway 2 ...
23500	23500	DAAM2	dishevelled associated activator of morpho...
2535	2535	FZD2	frizzled class receptor 2 [Source:HGNC Sym...
27101	27101	CACYBP	calcyclin binding protein [Source:HGNC Sym...
27121	27121	DKK4	dickkopf WNT signaling pathway inhibitor 4...
27123	27123	DKK2	dickkopf WNT signaling pathway inhibitor 2...
2932	2932	GSK3B	glycogen synthase kinase 3 beta [Source:HG...
324	324	APC	APC regulator of WNT signaling pathway [So...
3725	3725	JUN	Jun proto-oncogene, AP-1 transcription fac...
387	387	RHOA	ras homolog family member A [Source:HGNC S...
4040	4040	LRP6	LDL receptor related protein 6 [Source:HGN...
4041	4041	LRP5	LDL receptor related protein 5 [Source:HGN...
4087	4087	SMAD2	SMAD family member 2 [Source:HGNC Symbol;A...
4088	4088	SMAD3	SMAD family member 3 [Source:HGNC Symbol;A...
4089	4089	SMAD4	SMAD family member 4 [Source:HGNC Symbol;A...
4316	4316	MMP7	matrix metallopeptidase 7 [Source:HGNC Sym...
4609	4609	MYC	MYC proto-oncogene, bHLH transcription fac...
4772	4772	NFATC1	nuclear factor of activated T cells 1 [Sou...
4773	4773	NFATC2	nuclear factor of activated T cells 2 [Sou...
4775	4775	NFATC3	nuclear factor of activated T cells 3 [Sou...
4776	4776	NFATC4	nuclear factor of activated T cells 4 [Sou...
51176	51176	LEF1	lymphoid enhancer binding factor 1 [Source...
51384	51384	WNT16	Wnt family member 16 [Source:HGNC Symbol;A...
51701	51701	NLK	nemo like kinase [Source:HGNC Symbol;Acc:H...
5330	5330	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol...
5331	5331	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol...
5332	5332	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol...
54361	54361	WNT4	Wnt family member 4 [Source:HGNC Symbol;Ac...
5467	5467	PPARD	peroxisome proliferator activated receptor...
5515	5515	PPP2CA	protein phosphatase 2 catalytic subunit al...
5516	5516	PPP2CB	protein phosphatase 2 catalytic subunit be...
5518	5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aal...
5519	5519	PPP2R1B	protein phosphatase 2 scaffold subunit Abe...
5525	5525	PPP2R5A	protein phosphatase 2 regulatory subunit B...
5526	5526	PPP2R5B	protein phosphatase 2 regulatory subunit B...
5527	5527	PPP2R5C	protein phosphatase 2 regulatory subunit B...
5528	5528	PPP2R5D	protein phosphatase 2 regulatory subunit B...
5529	5529	PPP2R5E	protein phosphatase 2 regulatory subunit B...
5530	5530	PPP3CA	protein phosphatase 3 catalytic subunit al...
5532	5532	PPP3CB	protein phosphatase 3 catalytic subunit be...
5533	5533	PPP3CC	protein phosphatase 3 catalytic subunit ga...
5534	5534	PPP3R1	protein phosphatase 3 regulatory subunit B...
5535	5535	PPP3R2	protein phosphatase 3 regulatory subunit B...
5566	5566	PRKACA	protein kinase cAMP-activated catalytic su...
5567	5567	PRKACB	protein kinase cAMP-activated catalytic su...
5568	5568	PRKACG	protein kinase cAMP-activated catalytic su...
5578	5578	PRKCA	protein kinase C alpha [Source:HGNC Symbol...
5579	5579	PRKCB	protein kinase C beta [Source:HGNC Symbol;...
5582	5582	PRKCG	protein kinase C gamma [Source:HGNC Symbol...
5599	5599	MAPK8	mitogen-activated protein kinase 8 [Source...
5601	5601	MAPK9	mitogen-activated protein kinase 9 [Source...
5602	5602	MAPK10	mitogen-activated protein kinase 10 [Sourc...
5613	5613	PRKX	protein kinase cAMP-dependent X-linked cat...
5663	5663	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:...
56998	56998	CTNNBIP1	catenin beta interacting protein 1 [Source...
57216	57216	VANGL2	VANGL planar cell polarity protein 2 [Sour...
57680	57680	CHD8	chromodomain helicase DNA binding protein ...
5879	5879	RAC1	Rac family small GTPase 1 [Source:HGNC Sym...
5880	5880	RAC2	Rac family small GTPase 2 [Source:HGNC Sym...
5881	5881	RAC3	Rac family small GTPase 3 [Source:HGNC Sym...
59343	59343	SENP2	SUMO specific peptidase 2 [Source:HGNC Sym...
595	595	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]
6093	6093	ROCK1	Rho associated coiled-coil containing prot...
63928	63928	CHP2	calcineurin like EF-hand protein 2 [Source...
6422	6422	SFRP1	secreted frizzled related protein 1 [Sourc...
6423	6423	SFRP2	secreted frizzled related protein 2 [Sourc...
6424	6424	SFRP4	secreted frizzled related protein 4 [Sourc...
6425	6425	SFRP5	secreted frizzled related protein 5 [Sourc...
64321	64321	SOX17	SRY-box transcription factor 17 [Source:HG...
6477	6477	SIAH1	siah E3 ubiquitin protein ligase 1 [Source...
64840	64840	PORCN	porcupine O-acyltransferase [Source:HGNC S...
6500	6500	SKP1	S-phase kinase associated protein 1 [Sourc...
6885	6885	MAP3K7	mitogen-activated protein kinase kinase ki...
6907	6907	TBL1X	transducin beta like 1 X-linked [Source:HG...
6932	6932	TCF7	transcription factor 7 [Source:HGNC Symbol...
6934	6934	TCF7L2	transcription factor 7 like 2 [Source:HGNC...
7157	7157	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:...
728622	728622	SKP1P2	S-phase kinase associated protein 1 pseudo...
7471	7471	WNT1	Wnt family member 1 [Source:HGNC Symbol;Ac...
7472	7472	WNT2	Wnt family member 2 [Source:HGNC Symbol;Ac...
